nombre,link,direccion,tipo,categoria,telefono,email
CLUB MAR. S. MIG. DE OYA CANIDO Y CABO ESTAY,https://www.turismo.gal/recurso/-/detalle/24411/club-mar.-s.-mig.-de-oya-canido-y-cabo-estay?langId=es_ES&tp=85&ctre=172,"Muelle de Canido, nº 50 36390 Vigo - Pontevedra",Empresas de actividades deportivas,,+34 986 460 684,
CLUB MARITIMO DEPORT.-CULTURAL BREOGAN,https://www.turismo.gal/recurso/-/detalle/24077/club-maritimo-deport.-cultural-breogan?langId=es_ES&tp=85&ctre=172,"Paseo Marítimo, nº s/n 36989 O Grove - Pontevedra",Empresas de actividades deportivas,,,
CLUB MARITIMO Y DEPORTIVO DE O GROVE,https://www.turismo.gal/recurso/-/detalle/24089/club-maritimo-y-deportivo-de-o-grove?langId=es_ES&tp=85&ctre=172,"Bouzas, nº 7 36980 O Grove - Pontevedra",Empresas de actividades deportivas,,,
CLUB NÁUTICO DE PORTONOVO,https://www.turismo.gal/recurso/-/detalle/36564/club-nautico-de-portonovo?langId=es_ES&tp=66&ctre=117,36970 Sanxenxo - Pontevedra,Instal. náutico deportivas. Marítima,,+34 986 723 266,administracion@nauticoportonovo.com
CLUB NAUTICO PASAXE DE CAMPOSANCOS,https://www.turismo.gal/recurso/-/detalle/24090/club-nautico-pasaxe-de-camposancos?langId=es_ES&tp=85&ctre=172,Urbanización Río Miño 36788 A Guarda - Pontevedra,Empresas de actividades deportivas,,,
CLUB NÁUTICO PASAXE DE CAMPOSANCOS,https://www.turismo.gal/recurso/-/detalle/28426/club-nautico-pasaxe-de-camposancos?langId=es_ES&tp=66&ctre=123,36788 A Guarda - Pontevedra,Otras Inst. náutico deportivas.Maritima,,,
CLUB NAUTICO PORTONOVO,https://www.turismo.gal/recurso/-/detalle/24326/club-nautico-portonovo?langId=es_ES&tp=85&ctre=172,"Rafael Picó, nº 44 36960 Sanxenxo - Pontevedra",Empresas de actividades deportivas,,+34 986 723 266,
CLUB NAUTICO RIA DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/24256/club-nautico-ria-de-pontevedra?langId=es_ES&tp=85&ctre=172,"Augusto Gónzalez Besada, nº 10 36001 Pontevedra - Pontevedra",Empresas de actividades deportivas,,,
CLUB NAUTICO SAN VICENTE DO MAR,https://www.turismo.gal/recurso/-/detalle/280377201/club-nautico-san-vicente-do-mar?langId=es_ES&tp=85&ctre=172,36988 O Grove - Pontevedra,Empresas de actividades deportivas,,+34 986 738 325,
CLUB NAUTICO SODIN,https://www.turismo.gal/recurso/-/detalle/24407/club-nautico-sodin?langId=es_ES&tp=85&ctre=172,"Marqués Valladares, nº 23 36201 Vigo - Pontevedra",Empresas de actividades deportivas,,+34 986 439 740,correo@tureiva.com
CLUB NAVAL DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/24257/club-naval-de-pontevedra?langId=es_ES&tp=85&ctre=172,"Avda. de Uruguay, nº s/n 36002 Pontevedra - Pontevedra",Empresas de actividades deportivas,,+34 986 861 022,
CLUB NAVAL DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/28408/club-naval-de-pontevedra?langId=es_ES&tp=66&ctre=117,36002 Pontevedra - Pontevedra,Instal. náutico deportivas. Marítima,,+34 986 861 022,
CLUB NORDES KAYAK DE MAR,https://www.turismo.gal/recurso/-/detalle/24001/club-nordes-kayak-de-mar?langId=es_ES&tp=85&ctre=172,36940 Cangas - Pontevedra,Empresas de actividades deportivas,,+34 986 304 055,administracion@nordeskayak.com
CLUB PIRAGÜISMO ILLA DE AROUSA,https://www.turismo.gal/recurso/-/detalle/nr-po-000317/club-piragu-ismo-illa-de-arousa?langId=es_ES&tp=85&ctre=172,LG. BAO S/N 36626 A Illa de Arousa - Pontevedra,Empresas de actividades deportivas,,,
CLUB PIRAGUISMO VILABOA,https://www.turismo.gal/recurso/-/detalle/nr-po-000415/club-piraguismo-vilaboa?langId=es_ES&tp=85&ctre=172,"PRAIA DO AREEIRO, S/N 0 Vilaboa - Pontevedra",Empresas de actividades deportivas,,,
CLUBE S.R. SOBRE RODAS,https://www.turismo.gal/recurso/-/detalle/170622001334/clube-s.r.-sobre-rodas?langId=es_ES&tp=85&ctre=172,Plaza DA IGREXA - BARCIA 36519 Lalín - Pontevedra,Empresas de actividades deportivas,,,
CLUBE SOCIAL MOAÑA MAR,https://www.turismo.gal/recurso/-/detalle/36565/clube-social-moana-mar?langId=es_ES&tp=66&ctre=117,"Concepción Arenal, nº 279 36950 Moaña - Pontevedra",Instal. náutico deportivas. Marítima,,+34 986 311 140,info@moanamar.es
CLUBE SOCIAL MOAÑA MAR,https://www.turismo.gal/recurso/-/detalle/nr-po-000432/clube-social-moana-mar?langId=es_ES&tp=85&ctre=172,CONCEPCION ARENAL Nº 279 36950 Moaña - Pontevedra,Empresas de actividades deportivas,,,
"COCEDERO SUÁREZ, S.L.",https://www.turismo.gal/recurso/-/detalle/24795/cocedero-suarez-s.l.?langId=es_ES&tp=85&ctre=172,nº 41 36620 Vilanova de Arousa - Pontevedra,Empresas de actividades deportivas,,,
CONXEMAR FEIRA INTERN. PRODUTOS DO MAR CONXELADOS,https://www.turismo.gal/recurso/-/detalle/35205/conxemar-feira-intern.-produtos-do-mar-conxelados?langId=es_ES&tp=49&ctre=281,Avd. Aeroporto 772 - IFEVI 36318 Vigo - Pontevedra,Feria especializada,,,
CORPUS CHRISTI,https://www.turismo.gal/recurso/-/detalle/fi-po-000011/corpus-christi?langId=es_ES&tp=97&ctre=262,36860 Ponteareas - Pontevedra,Fiestas de interés turístico Internacional,,,
COVELOQUADS,https://www.turismo.gal/recurso/-/detalle/nr-po-000270/coveloquads?langId=es_ES&tp=85&ctre=172,"BO. COSTAL, 17 0 Covelo - Pontevedra",Empresas de actividades deportivas,,,
CRUCEIROS DO ULLA,https://www.turismo.gal/recurso/-/detalle/24549/cruceiros-do-ulla?langId=es_ES&tp=85&ctre=172,"Porto de Meloxo, nº 133 36980 O Grove - Pontevedra",Empresas de actividades deportivas,,+34 986 731 818,info@crucerosdoulla.com
CRUCEROS ANGEL S.L.,https://www.turismo.gal/recurso/-/detalle/td-po-000444/cruceros-angel-s.l.?langId=es_ES&tp=85&ctre=172,"R/ LUIS CASAIS, 29 36980 O Grove - Pontevedra",Empresas de actividades deportivas,,+34 986 732 539,info@crucerosangel.com
CRUCEROS DE AROSA S.L.,https://www.turismo.gal/recurso/-/detalle/259076407/cruceros-de-arosa-s.l.?langId=es_ES&tp=85&ctre=172,nº 1º B O Grove - Pontevedra,Empresas de actividades deportivas,,+34 609 562 913,info@crucerosdearosa.com
"CRUCEROS RIAS BAJAS,S.L.",https://www.turismo.gal/recurso/-/detalle/nr-po-000171/cruceros-rias-bajas-s.l.?langId=es_ES&tp=85&ctre=172,nº 76 36980 O Grove - Pontevedra,Empresas de actividades deportivas,,+34 986 731 343,info@crucerosriasbaixas.com
"CRUCEROS TURISTICOS NAUTILUS, S.L.",https://www.turismo.gal/recurso/-/detalle/24779/cruceros-turisticos-nautilus-s.l.?langId=es_ES&tp=85&ctre=172,nº 3 36992 Poio - Pontevedra,Empresas de actividades deportivas,,+34 986 740 118,
CUADERNA MAESTRA,https://www.turismo.gal/recurso/-/detalle/265532714/cuaderna-maestra?langId=es_ES&tp=55&ctre=1000141,"Lameiro, nº 2 36820 Ponte Caldelas - Pontevedra",Talleres artesanales,,,yoyelois@hotmail.com
CULTURGAL,https://www.turismo.gal/recurso/-/detalle/280381734/culturgal?langId=es_ES&tp=49&ctre=281,Lugar Pazo de Congresos e Exposicións 36005 Pontevedra - Pontevedra,Feria especializada,,,
DA FACTORÍA MASSÓ Á PRAIA DE LIMÉNS,https://www.turismo.gal/recurso/-/detalle/210507000196/da-factoria-masso-a-praia-de-limens?langId=es_ES&tp=40004370,Cangas - Pontevedra,Paseos,,,
DA PONTE DE COMBOA ATA A PONTE COLGANTE SOBRE A POZA DAS BESTAS,https://www.turismo.gal/recurso/-/detalle/210511000300/da-ponte-de-comboa-ata-a-ponte-colgante-sobre-a-poza-das-bestas?langId=es_ES&tp=40004370,Soutomaior - Pontevedra,Paseos,,,
DA PONTE MEDIEVAL DE SÁRDOMA AO PARQUE DE CASTRELOS,https://www.turismo.gal/recurso/-/detalle/210514000440/da-ponte-medieval-de-sardoma-ao-parque-de-castrelos?langId=es_ES&tp=40004370,Vigo - Pontevedra,Paseos,,,
DA PRAIA DE MONTALBO Á DE MAGOR,https://www.turismo.gal/recurso/-/detalle/210510000220/da-praia-de-montalbo-a-de-magor?langId=es_ES&tp=40004370,Sanxenxo - Pontevedra,Paseos,,,
DANZAS ANCESTRAIS DE DARBO,https://www.turismo.gal/recurso/-/detalle/32619/danzas-ancestrais-de-darbo?langId=es_ES&tp=97&ctre=261,Cangas - Pontevedra,Fiestas de Galicia de interés turístico,,,
DANZAS ANCESTRAIS DE SAN ROQUE DO HÍO,https://www.turismo.gal/recurso/-/detalle/32618/danzas-ancestrais-de-san-roque-do-hio?langId=es_ES&tp=97&ctre=261,Cangas - Pontevedra,Fiestas de Galicia de interés turístico,,,
DANZAS ANCESTRAIS DE SAN SEBASTIÁN,https://www.turismo.gal/recurso/-/detalle/32617/danzas-ancestrais-de-san-sebastian?langId=es_ES&tp=97&ctre=261,Cangas - Pontevedra,Fiestas de Galicia de interés turístico,,,
DENDE O PARQUE DA CANUDA ATA A ÁREA TERMAL,https://www.turismo.gal/recurso/-/detalle/210511000303/dende-o-parque-da-canuda-ata-a-area-termal?langId=es_ES&tp=40004370,Salvaterra de Miño - Pontevedra,Paseos,,,
"DESAFÍO OCIO, S.C.",https://www.turismo.gal/recurso/-/detalle/ta-po-000006/desafio-ocio-s.c.?langId=es_ES&tp=72&ctre=154,nº 26 36596 Lalín - Pontevedra,Empresas de actividades de aventura o naturaleza,,,ven@desafiocio.com
DESCENSO INTERNACIONAL DO MIÑO,https://www.turismo.gal/recurso/-/detalle/171108000045/descenso-internacional-do-mino?langId=es_ES&tp=97&ctre=261,36700 Tui - Pontevedra,Fiestas de Galicia de interés turístico,,,
DIQUE SUR (PORTO DA GUARDA),https://www.turismo.gal/recurso/-/detalle/278510030/dique-sur-porto-da-guarda-?langId=es_ES&tp=66&ctre=10002,Porto da Guarda 36780 A Guarda - Pontevedra,Puerto pesquero,,,
DOCENTA SALÓN MONOGRÁFICO DA EDUCACIÓN E FORMACIÓN,https://www.turismo.gal/recurso/-/detalle/35206/docenta-salon-monografico-da-educacion-e-formacion?langId=es_ES&tp=49&ctre=285,Avd. Aeroporto 772 - IFEVI 36318 Vigo - Pontevedra,Muestras,,,
E. FERRO,https://www.turismo.gal/recurso/-/detalle/35518/e.-ferro?langId=es_ES&tp=55&ctre=1000141,nº 1 36580 Vila de Cruces - Pontevedra,Talleres artesanales,,+34 986 583 524,e.ferro.lamela@gmail.com
ECOPARQUE ATALAIA,https://www.turismo.gal/recurso/-/detalle/280377913/ecoparque-atalaia?langId=es_ES&tp=85&ctre=172,nº s/n Cerdedo-Cotobade - Pontevedra,Empresas de actividades deportivas,,,reservas@aventurariasbaixas.com
ECOPARQUE MULTIAVENTURA DE MARIN,https://www.turismo.gal/recurso/-/detalle/nr-po-000338/ecoparque-multiaventura-de-marin?langId=es_ES&tp=85&ctre=172,CARRET. MARIN-MOAÑA PO 313-FINCA DO CADRO 0 Marín - Pontevedra,Empresas de actividades deportivas,,,reservas@aventurariasbaixas.com
EMBARCADOIRO DA PASAXE,https://www.turismo.gal/recurso/-/detalle/278558018/embarcadoiro-da-pasaxe?langId=es_ES&tp=66&ctre=10002,A Guarda - Pontevedra,Puerto pesquero,,,
ENCOIROS,https://www.turismo.gal/recurso/-/detalle/280376642/encoiros?langId=es_ES&tp=55&ctre=1000141,"Carretera Catapeixe, nº 97 36693 Redondela - Pontevedra",Talleres artesanales,,+34 886 129 508,encoiros@hotmail.com
ENCONTRO DEGUSTACIÓN DO MILLO CORVO,https://www.turismo.gal/recurso/-/detalle/35233/encontro-degustacion-do-millo-corvo?langId=es_ES&tp=49&ctre=281,Plaza 36930 Bueu - Pontevedra,Feria especializada,,,
ENDORFINA,https://www.turismo.gal/recurso/-/detalle/nr-po-000322/endorfina?langId=es_ES&tp=85&ctre=172,"RUA PASEO DE COLON, 3-3ºB 0 Pontevedra - Pontevedra",Empresas de actividades deportivas,,,
ENTRETENDAS CENTRO COMERCIAL URBANO,https://www.turismo.gal/recurso/-/detalle/269645758/entretendas-centro-comercial-urbano?langId=es_ES&tp=40&ctre=228,"O Pombal, nº 12 A Baixo 36970 Sanxenxo - Pontevedra",Área Comercial Urbana,,+34 986 721 038,entretendas@entretendas.com
ENTROIDO DE COBRES,https://www.turismo.gal/recurso/-/detalle/fi-po-000005/entroido-de-cobres?langId=es_ES&tp=97&ctre=261,Vilaboa - Pontevedra,Fiestas de Galicia de interés turístico,,,
ENTROIDO DOS XENERAIS DO ULLA,https://www.turismo.gal/recurso/-/detalle/280380112/entroido-dos-xenerais-do-ulla?langId=es_ES&tp=97&ctre=261,"A Coruña
Pontevedra",Fiestas de Galicia de interés turístico,,,
EQUIGALIA CENTRO ECUESTRE,https://www.turismo.gal/recurso/-/detalle/nr-po-000297/equigalia-centro-ecuestre?langId=es_ES&tp=85&ctre=172,LG. XEISOS - ALBOS - PEXEGUEIRO 0 Tui - Pontevedra,Empresas de actividades deportivas,,,
EROSKI PONTEAREAS,https://www.turismo.gal/recurso/-/detalle/270005112/eroski-ponteareas?langId=es_ES&tp=40&ctre=227,San Antonio 36860 Ponteareas - Pontevedra,Hipermercados,,+34 986 644 210,
ESCUDERIA PARIS DAKAR,https://www.turismo.gal/recurso/-/detalle/nr-po-000232/escuderia-paris-dakar?langId=es_ES&tp=85&ctre=172,PLAYA DE MAJOR - LA LANZADA 0 Sanxenxo - Pontevedra,Empresas de actividades deportivas,,,
ESCUELA DE PIRAGÜISMO CIUDAD DE PONTEVE.,https://www.turismo.gal/recurso/-/detalle/24259/escuela-de-piragu-ismo-ciudad-de-ponteve.?langId=es_ES&tp=85&ctre=172,"C/ Peregrina, 49 - 4ºC 36001 Pontevedra - Pontevedra",Empresas de actividades deportivas,,+34 986 844 015,
ESTILOARAMAR,https://www.turismo.gal/recurso/-/detalle/280376657/estiloaramar?langId=es_ES&tp=55&ctre=1000141,"Calle Antón Fraguas, nº 5 36001 Pontevedra - Pontevedra",Talleres artesanales,,+34 986 854 588,aramarvi@gmail.com
EXALTACIÓN DAS DELICIAS DO MIÑO,https://www.turismo.gal/recurso/-/detalle/273197559/exaltacion-das-delicias-do-mino?langId=es_ES&tp=49&ctre=281,Compostela 36700 Tui - Pontevedra,Feria especializada,,,
"EXPOGALAECIA SALÓN DETURISMO, ARTES. Y GASTRONOMÍA",https://www.turismo.gal/recurso/-/detalle/35207/expogalaecia-salon-deturismo-artes.-y-gastronomia?langId=es_ES&tp=49&ctre=281,Avd. Aeroporto 772 - IFEVI 36318 Vigo - Pontevedra,Feria especializada,,,
EXPOMOBIL - FEIRA DE COCHES,https://www.turismo.gal/recurso/-/detalle/35186/expomobil-feira-de-coches?langId=es_ES&tp=49&ctre=281,Alexandre Bóveda 36005 Pontevedra - Pontevedra,Feria especializada,,,
EXPOMOBIL - FEIRA DE COCHES USADOS,https://www.turismo.gal/recurso/-/detalle/36221/expomobil-feira-de-coches-usados?langId=es_ES&tp=49&ctre=281,Alex. Bóveda - Pazo da Cultura 36005 Pontevedra - Pontevedra,Feria especializada,,,
EXPOSALCEDA,https://www.turismo.gal/recurso/-/detalle/35199/exposalceda?langId=es_ES&tp=49&ctre=285,Rosalía de Castro 36470 Salceda de Caselas - Pontevedra,Muestras,,,
EXPOSICIÓN INTERNACIONAL CANINA,https://www.turismo.gal/recurso/-/detalle/35226/exposicion-internacional-canina?langId=es_ES&tp=49&ctre=285,Avda. Aeroporto 772 - IFEVI 36318 Vigo - Pontevedra,Muestras,,,
FEDERACION GALEGA DE VELA,https://www.turismo.gal/recurso/-/detalle/24412/federacion-galega-de-vela?langId=es_ES&tp=85&ctre=172,36208 Vigo - Pontevedra,Empresas de actividades deportivas,,+34 986 237 116,
FEIRA AGRÍCOLA DO BAIXO MIÑO,https://www.turismo.gal/recurso/-/detalle/273197747/feira-agricola-do-baixo-mino?langId=es_ES&tp=49&ctre=285,Concordía 36700 Tui - Pontevedra,Muestras,,,
FEIRA APÍCOLA RÍAS BAIXAS,https://www.turismo.gal/recurso/-/detalle/272814419/feira-apicola-rias-baixas?langId=es_ES&tp=49&ctre=281,Domingo Bueno 36400 O Porriño - Pontevedra,Feria especializada,,,
FEIRA ARTESANAL,https://www.turismo.gal/recurso/-/detalle/35201/feira-artesanal?langId=es_ES&tp=49&ctre=281,Paseo da Calzada 36630 Cambados - Pontevedra,Feria especializada,,,
FEIRA CABALAR DA PASCUA,https://www.turismo.gal/recurso/-/detalle/272587132/feira-cabalar-da-pascua?langId=es_ES&tp=49&ctre=282,Lg. Praza da feira A Estrada - Pontevedra,Feria,mercado rural,,
FEIRA DAS CABAZAS,https://www.turismo.gal/recurso/-/detalle/35170/feira-das-cabazas?langId=es_ES&tp=49&ctre=281,Curros Enríquez 36002 Pontevedra - Pontevedra,Feria especializada,,,
FEIRA DE ANTIGÜEDADES,https://www.turismo.gal/recurso/-/detalle/273197451/feira-de-antigu-edades?langId=es_ES&tp=49&ctre=281,Paseo da Corredoira 36700 Tui - Pontevedra,Feria especializada,,,
FEIRA DE ARTESANÍA,https://www.turismo.gal/recurso/-/detalle/272661911/feira-de-artesania?langId=es_ES&tp=49&ctre=281,Lg. Parque da Coelleira 36380 Gondomar - Pontevedra,Feria especializada,,,
FEIRA DE ARTESANÍA,https://www.turismo.gal/recurso/-/detalle/273194192/feira-de-artesania?langId=es_ES&tp=49&ctre=284,Ordoñez 36700 Tui - Pontevedra,Mercado singular,,,
FEIRA DE ARTESANÍA,https://www.turismo.gal/recurso/-/detalle/273197510/feira-de-artesania?langId=es_ES&tp=49&ctre=281,Paseo da Corredoira 36700 Tui - Pontevedra,Feria especializada,,,
FEIRA DE ARTESANÍA DE NADAL,https://www.turismo.gal/recurso/-/detalle/272818748/feira-de-artesania-de-nadal?langId=es_ES&tp=49&ctre=281,Praza da Constitución 36800 Redondela - Pontevedra,Feria especializada,,,
FEIRA DE ARTESANÍA DO CHOCO,https://www.turismo.gal/recurso/-/detalle/272826425/feira-de-artesania-do-choco?langId=es_ES&tp=49&ctre=281,Lg. Alameda de Redondela 36800 Redondela - Pontevedra,Feria especializada,,,
FEIRA DE BOUZAS,https://www.turismo.gal/recurso/-/detalle/35213/feira-de-bouzas?langId=es_ES&tp=49&ctre=283,Alameda Suárez Llano 36208 Vigo - Pontevedra,Mercadillo,feirón,,
FEIRA DE CERDEDO,https://www.turismo.gal/recurso/-/detalle/272511014/feira-de-cerdedo?langId=es_ES&tp=49&ctre=283,Praza do Concello 36130 Cerdedo-Cotobade - Pontevedra,Mercadillo,feirón,,
FEIRA DE CUSPEDRIÑOS,https://www.turismo.gal/recurso/-/detalle/272511050/feira-de-cuspedrinos?langId=es_ES&tp=49&ctre=284,36121 Cerdedo-Cotobade - Pontevedra,Mercado singular,,,
"FEIRA DE DESENVOLVEMENTO RURAL ""AGRO DE CAMPA""",https://www.turismo.gal/recurso/-/detalle/35248/feira-de-desenvolvemento-rural-agro-de-campa-?langId=es_ES&tp=49&ctre=285,Campo da feira 36530 Rodeiro - Pontevedra,Muestras,,,
FEIRA DE FORCAREI,https://www.turismo.gal/recurso/-/detalle/35235/feira-de-forcarei?langId=es_ES&tp=49&ctre=283,Praza da Igrexa 36556 Forcarei - Pontevedra,Mercadillo,feirón,,
FEIRA DE LALÍN,https://www.turismo.gal/recurso/-/detalle/272716657/feira-de-lalin?langId=es_ES&tp=49&ctre=283,Lg. Campo Vello da Feira 36500 Lalín - Pontevedra,Mercadillo,feirón,,
FEIRA DE OPORTUNIDADES,https://www.turismo.gal/recurso/-/detalle/272826470/feira-de-oportunidades?langId=es_ES&tp=49&ctre=285,Calvario 36770 O Rosal - Pontevedra,Muestras,,,
FEIRA DE OPORTUNIDADES,https://www.turismo.gal/recurso/-/detalle/273216712/feira-de-oportunidades?langId=es_ES&tp=49&ctre=284,Praza do Concello 36620 Vilanova de Arousa - Pontevedra,Mercado singular,,,
FEIRA DE OPORTUNIDADES E ANTIGÜIDADES,https://www.turismo.gal/recurso/-/detalle/272658794/feira-de-oportunidades-e-antigu-idades?langId=es_ES&tp=49&ctre=281,Lg. Fundación de Exposicións e Congresos 36680 A Estrada - Pontevedra,Feria especializada,,,
FEIRA DE RODEIRO,https://www.turismo.gal/recurso/-/detalle/35252/feira-de-rodeiro?langId=es_ES&tp=49&ctre=283,Avenida Gumersindo Areán 36530 Rodeiro - Pontevedra,Mercadillo,feirón,,
FEIRA DE SOUTELO DE MONTES,https://www.turismo.gal/recurso/-/detalle/35236/feira-de-soutelo-de-montes?langId=es_ES&tp=49&ctre=283,Plaza do Gaiteiro. Parq. Venezuela/ Estr. Ourense 36550 Forcarei - Pontevedra,Mercadillo,feirón,,
FEIRA DO BALONCESTO - VILAGARCÍA BASKET CUP,https://www.turismo.gal/recurso/-/detalle/36303/feira-do-baloncesto-vilagarcia-basket-cup?langId=es_ES&tp=49&ctre=281,Recinto Ferial Fexdega 36600 Vilagarcía de Arousa - Pontevedra,Feria especializada,,,
FEIRA DO DEZAOITO,https://www.turismo.gal/recurso/-/detalle/272536926/feira-do-dezaoito?langId=es_ES&tp=49&ctre=284,Carballeira de Troáns 36670 Cuntis - Pontevedra,Mercado singular,,,
FEIRA DO LIBRO,https://www.turismo.gal/recurso/-/detalle/35223/feira-do-libro?langId=es_ES&tp=49&ctre=281,Praza de Compostela 36201 Vigo - Pontevedra,Feria especializada,,,
FEIRA DO LIBRO GALEGO,https://www.turismo.gal/recurso/-/detalle/273193763/feira-do-libro-galego?langId=es_ES&tp=49&ctre=281,Paseo da Corredoira 36700 Tui - Pontevedra,Feria especializada,,,
FEIRA DO MEL,https://www.turismo.gal/recurso/-/detalle/35171/feira-do-mel?langId=es_ES&tp=49&ctre=281,Praza da Verdura 36005 Pontevedra - Pontevedra,Feria especializada,,,
FEIRA DO MOBLE DE GALICIA,https://www.turismo.gal/recurso/-/detalle/272623292/feira-do-moble-de-galicia?langId=es_ES&tp=49&ctre=281,Lg. Fundación de Exposicións e Congresos 36680 A Estrada - Pontevedra,Feria especializada,,,
FEIRA DO MOSTEIRO,https://www.turismo.gal/recurso/-/detalle/272763343/feira-do-mosteiro?langId=es_ES&tp=49&ctre=282,Lg. Campo da Feira 36637 Meis - Pontevedra,Feria,mercado rural,,
FEIRA DO VIÑO DO ROSAL,https://www.turismo.gal/recurso/-/detalle/161114000038/feira-do-vino-do-rosal?langId=es_ES&tp=97&ctre=261,O Rosal - Pontevedra,Fiestas de Galicia de interés turístico,,,
FEIRA DO XAMÓN DA CAÑIZA,https://www.turismo.gal/recurso/-/detalle/fi-po-000035/feira-do-xamon-da-caniza?langId=es_ES&tp=97&ctre=261,36360 A Cañiza - Pontevedra,Fiestas de Galicia de interés turístico,,,
FEIRA DOS COGOMELOS,https://www.turismo.gal/recurso/-/detalle/272814381/feira-dos-cogomelos?langId=es_ES&tp=49&ctre=281,Domingo Bueno 36400 O Porriño - Pontevedra,Feria especializada,,,
FEIRA FRANCA,https://www.turismo.gal/recurso/-/detalle/35177/feira-franca?langId=es_ES&tp=49&ctre=284,36001 Pontevedra - Pontevedra,Mercado singular,,,
FEIRA FRANCA,https://www.turismo.gal/recurso/-/detalle/fi-po-000033/feira-franca?langId=es_ES&tp=97&ctre=261,Pontevedra - Pontevedra,Fiestas de Galicia de interés turístico,,,
FEIRA INTERNACIONAL SEMANA VERDE DE GALICIA,https://www.turismo.gal/recurso/-/detalle/272837735/feira-internacional-semana-verde-de-galicia?langId=es_ES&tp=49&ctre=285,Lg. Recinto Ferial 36540 Silleda - Pontevedra,Muestras,,,
FEIRA MEDIEVAL DE PONTE ARNELAS,https://www.turismo.gal/recurso/-/detalle/273203223/feira-medieval-de-ponte-arnelas?langId=es_ES&tp=49&ctre=284,Ponte Arnelas 36620 Vilanova de Arousa - Pontevedra,Mercado singular,,,
FEIRA PROFESIONAL DO MOBLE,https://www.turismo.gal/recurso/-/detalle/272591255/feira-profesional-do-moble?langId=es_ES&tp=49&ctre=281,Lg. Fundación de Exposicións e Congresos 36680 A Estrada - Pontevedra,Feria especializada,,,
FEIRA TRADICIONAL DOS REMEDIOS,https://www.turismo.gal/recurso/-/detalle/250620000398/feira-tradicional-dos-remedios?langId=es_ES&tp=97&ctre=261,36860 Ponteareas - Pontevedra,Fiestas de Galicia de interés turístico,,,
FEIRA TRADICIONAL DOS REMEDIOS,https://www.turismo.gal/recurso/-/detalle/272791768/feira-tradicional-dos-remedios?langId=es_ES&tp=49&ctre=284,"Praza Maior, Praza Bugallal 36860 Ponteareas - Pontevedra",Mercado singular,,,
FEIRAVIVA - MUESTRA DE PRODUCTOS ECOLÓGICOS Y NATURALES,https://www.turismo.gal/recurso/-/detalle/272816068/feiraviva-muestra-de-productos-ecologicos-y-naturales?langId=es_ES&tp=49&ctre=285,Plaza del Cristo 36400 O Porriño - Pontevedra,Muestras,,,
FERNANDO PORTO,https://www.turismo.gal/recurso/-/detalle/35582/fernando-porto?langId=es_ES&tp=55&ctre=1000141,"Calle Irida, nº 29 36680 A Estrada - Pontevedra",Talleres artesanales,,+34 986 570 155,correo@fernandoporto.com
FERVENZA DE CALLOBRE,https://www.turismo.gal/recurso/-/detalle/210518000468/fervenza-de-callobre-?langId=es_ES&tp=40004370,A Estrada - Pontevedra,Paseos,,,
FERVENZA DE SEGADE,https://www.turismo.gal/recurso/-/detalle/210512000343/fervenza-de-segade?langId=es_ES&tp=40004370,Caldas de Reis - Pontevedra,Paseos,,,
FERVENZA DO POZO DO INFERNO,https://www.turismo.gal/recurso/-/detalle/210512000357/fervenza-do-pozo-do-inferno?langId=es_ES&tp=40004370,Pontevedra,Paseos,,,
FERVENZA DO RÍO TOXA,https://www.turismo.gal/recurso/-/detalle/210512000345/fervenza-do-rio-toxa?langId=es_ES&tp=40004370,Silleda - Pontevedra,Paseos,,,
FERVENZAS DE RAXOI,https://www.turismo.gal/recurso/-/detalle/210518000467/fervenzas-de-raxoi-?langId=es_ES&tp=40004370,Valga - Pontevedra,Paseos,,,
FERVENZAS DO PEREIRO,https://www.turismo.gal/recurso/-/detalle/210512000355/fervenzas-do-pereiro?langId=es_ES&tp=40004370,Poio - Pontevedra,Paseos,,,
FESTA DA AMEIXA DO CARRIL,https://www.turismo.gal/recurso/-/detalle/24362/festa-da-ameixa-do-carril?langId=es_ES&tp=97&ctre=261,36610 Vilagarcía de Arousa - Pontevedra,Fiestas de Galicia de interés turístico,,,
FESTA DA ANGUÍA E A MOSTRA DA CAÑA DO PAÍS DE VALGA,https://www.turismo.gal/recurso/-/detalle/280380634/festa-da-anguia-e-a-mostra-da-cana-do-pais-de-valga?langId=es_ES&tp=97&ctre=261,Valga - Pontevedra,Fiestas de Galicia de interés turístico,,,
FESTA DA ARRIBADA DA CARABELA PINTA,https://www.turismo.gal/recurso/-/detalle/fi-po-000004/festa-da-arribada-da-carabela-pinta?langId=es_ES&tp=97&ctre=262,Baiona - Pontevedra,Fiestas de interés turístico Internacional,,,
FESTA DA CAZA,https://www.turismo.gal/recurso/-/detalle/35251/festa-da-caza?langId=es_ES&tp=49&ctre=285,Casco urbano da vila 36530 Rodeiro - Pontevedra,Muestras,,,
FESTA DA EMPANADA DE BANDEIRA,https://www.turismo.gal/recurso/-/detalle/fi-po-000001/festa-da-empanada-de-bandeira?langId=es_ES&tp=97&ctre=257,Silleda - Pontevedra,Fiestas de interés turístico nacional,,,
