nombre,link,direccion,tipo,categoria,telefono,email,web,coordenadas,web_interna,situacion_caminos_de_santiago,soles_repsol,horario_de_admisión:,tipos_de_servicios,regímenes,plazas_totales_calculadas,clasificación,servicios_de_autocaravanas,situacion_acceso,declaración,principales_monumentos,número_de_tiendas,tipo_tiendas,actividades,servicios_convenciones,alquiler,habitaciones,más_información,descripción_de_actividades,navegación,períodos_de_funcionamiento,servicios_de_las_instalaciones,servicios_de_la_población,características,rango,accesibilidad,estrellas_michelin,situación,superficie,servicios,información_y_equipamientos,artesanos,actividad_del_taller,otras_características,salones,tarjetas,estilos,orden_religiosa,el_paseo,accesibilidad_a_tener_en_cuenta
CAFETERIA QUECHE,https://www.turismo.gal/recurso/-/detalle/c-po-000790/cafeteria-queche?langId=es_ES&tp=1001550&ctre=40000242,"Calle Javier Puig Lamas, nº 17 36002 Pontevedra - Pontevedra",Cafetería,,+34 655 446 226,,,"42º 25' 51.1"" N - 8º 38' 18.2"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFETERIA-RESTAURANTE MERCANTIL PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/170223000083/cafeteria-restaurante-mercantil-pontevedra?langId=es_ES&tp=24&ctre=142,"Lg. Cons, nº 32 36164 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 851 670,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFETÍN,https://www.turismo.gal/recurso/-/detalle/1435/cafetin?langId=es_ES&tp=24&ctre=142,RUA ALAMEDA 1 36003 Pontevedra - Pontevedra,Restaurante,3º Categoría - 2 Tenedores,+34 986 847 873,,,"42º 25' 52.6"" N - 8º 38' 53.7"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIMA,https://www.turismo.gal/recurso/-/detalle/180508000072/calima?langId=es_ES&tp=1001549&ctre=40000240,"Calle Licenciado Francisco de Paula Cousiño, nº 16 36002 Pontevedra - Pontevedra",Café bar,,,paulitamare10@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBALACHE,https://www.turismo.gal/recurso/-/detalle/211222000182/cambalache?langId=es_ES&tp=24&ctre=142,"Calle Eduardo Pondal, nº 4 36003 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,cambalachepontevedra@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBALACHE,https://www.turismo.gal/recurso/-/detalle/280197974/cambalache?langId=es_ES&tp=24&ctre=142,"RÚA COBIÁN ROFFIGNAC, 9, BAIXO 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,,boavila@pizzeriascambalache.es,http://www.restaurantescambalache.es/,"42º 25' 54.4"" N - 8º 38' 32.2"" W",http://www.restaurantescambalache.es/,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMIÑO REAL,https://www.turismo.gal/recurso/-/detalle/36732/camino-real?langId=es_ES&tp=67&ctre=135,nº 70 36152 Pontevedra - Pontevedra,Pensión,2 estrellas,,,,"42º 28' 17.7"" N - 8º 38' 23.6"" W",,Camino Portugués | Camino Portugués de la costa,,,Calefacción central | Calefacción individual | Jardín terraza | TV en habitaciones,,,,,,,,,,,Teléfono,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPANA,https://www.turismo.gal/recurso/-/detalle/v-po-003315/campana?langId=es_ES&tp=1001549&ctre=40000240,MOURENTE - EIROS Nº 4 BAIXO 162 Pontevedra - Pontevedra,Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPANIOLA,https://www.turismo.gal/recurso/-/detalle/268790691/campaniola?langId=es_ES&tp=22&ctre=129,"Calle Cabaleiro , nº 35 36157 Pontevedra - Pontevedra",Hotel,2 Estrellas,,info@campaniola.es,,"42º 27' 50.4"" N - 8º 39' 55.5"" W",,Camino Portugués | Camino Portugués de la costa,,,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Ascensor | Bar-Cafetería | Calefacción individual | Garaje gratuito | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Jardín terraza | Parking de superficie | Piscina | Sala de Reuniones | Sauna | Secador pelo en habitaciones | Servicio de fax | Spa | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPANIOLA,https://www.turismo.gal/recurso/-/detalle/274930810/campaniola?langId=es_ES&tp=24&ctre=142,"Lg. Cabaleiro, nº 35 36157 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 886 166 910,recepcion@hotelruralcampaniola.com,,"42º 27' 51.0"" N - 8º 39' 56.0"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPELOS DE COTO,https://www.turismo.gal/recurso/-/detalle/210305000382/campelos-de-coto?langId=es_ES&tp=1001549&ctre=40000240,"Polígono Industrial o Campiño, nº 27 36158 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANDELA GRILL,https://www.turismo.gal/recurso/-/detalle/15546/candela-grill?langId=es_ES&tp=24&ctre=142,"Calle Real, nº 4 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,,"42º 25' 59.7"" N - 8º 38' 42.8"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAÑON DE PAO, O",https://www.turismo.gal/recurso/-/detalle/v-po-002807/canon-de-pao-o?langId=es_ES&tp=1001549&ctre=40000240,PRAZA DE BARCELOS 18-B PONTEVEDRA 0 Pontevedra - Pontevedra,Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTINA DEL CHARRO,https://www.turismo.gal/recurso/-/detalle/15568/cantina-del-charro?langId=es_ES&tp=24&ctre=142,"ALAMEDA, 14 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 862 200,,,"42º 25' 49.2"" N - 8º 39' 00.6"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPELA DA VIRXE PEREGRINA,https://www.turismo.gal/recurso/-/detalle/3271/capela-da-virxe-peregrina?langId=es_ES&tp=8&ctre=31,"Plaza da Peregrina, nº s/n 36002 Pontevedra - Pontevedra",Iglesia,,,,,"42º 25' 50.9"" N - 8º 38' 36.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPELA DE SAN ROQUE,https://www.turismo.gal/recurso/-/detalle/3273/capela-de-san-roque?langId=es_ES&tp=8&ctre=31,"Calle San Roque, nº s/n 36002 Pontevedra - Pontevedra",Iglesia,,,,,"42º 25' 46.9"" N - 8º 39' 03.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPRI I,https://www.turismo.gal/recurso/-/detalle/160323000132/capri-i?langId=es_ES&tp=1001549&ctre=40000240,"Calle GARCIA CAMBA, nº 4 36001 Pontevedra - Pontevedra",Café bar,,+34 986 852 397,confiteria@capripontevedra.com,,"42º 25' 47.6"" N - 8º 38' 40.9"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARABELA,https://www.turismo.gal/recurso/-/detalle/v-po-000204/carabela?langId=es_ES&tp=1001549&ctre=40000240,"Plaza Da Estrela, nº nº 1 36002 Pontevedra - Pontevedra",Café bar,,,beatrizpaulacarames@hotmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARALLO 29,https://www.turismo.gal/recurso/-/detalle/v-po-006767/carallo-29?langId=es_ES&tp=1001549&ctre=40000240,"Calle César Boente, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMEN CASTRO,https://www.turismo.gal/recurso/-/detalle/210311001329/carmen-castro?langId=es_ES&tp=1001549&ctre=40000240,"Lugar Hermida, nº 67 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAROLO GASTRO-BAR,https://www.turismo.gal/recurso/-/detalle/v-po-000991/carolo-gastro-bar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Alameda, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,caroloeugenio@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARREFOUR PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/21267/carrefour-pontevedra?langId=es_ES&tp=40&ctre=227,"Rúa de San Blas, s/n 36143 Pontevedra - Pontevedra",Hipermercados,,+34 986 869 300,,http://www.carrefour.es/,"42º 25' 03.6"" N - 8º 38' 44.2"" W",http://www.carrefour.es/,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA BEREBERES,https://www.turismo.gal/recurso/-/detalle/15544/casa-bereberes?langId=es_ES&tp=24&ctre=142,"Calle Conde Bugallal, nº 86 36004 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 616 232 357,LABORAL@LABORSENN.ES,,"42º 25' 03.8"" N - 8º 38' 00.6"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA BOULLOSA,https://www.turismo.gal/recurso/-/detalle/v-po-006514/casa-boullosa?langId=es_ES&tp=1001549&ctre=40000240,RAMON OTERO PEDRAYO 5 PONTEVEDRA 36161 Pontevedra - Pontevedra,Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA BRAVO,https://www.turismo.gal/recurso/-/detalle/259612197/casa-bravo?langId=es_ES&tp=71&ctre=134,nº 2 36152 Pontevedra - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 866 480,miguel@casaobravo.com,http://www.casaobravo.com/,"42º 28' 00.0"" N - 8º 37' 47.9"" W",http://www.casaobravo.com/,Camino Portugués | Camino Portugués de la costa,,,Agricultura ecológica | Aparcamiento | Barbacoa | Camas supletorias | Comedor | Cunas | Derecho a cocina | Instalaciones para niños | Internet - Wi-Fi | Jardín / Huerta | Lavadora disponible – Lavandería | Prohibido fumar | Salón | Se habla francés | Se habla inglés | Tareas agropecuarias | Tarjetas de crédito (consultar) | Televisión común | Televisor en habitaciones,,,,,,,,,,,,La casa se puede alquilar completa,Habitación: Habitaciones dobles | Número de cuartos: 3 | Número de plazas: 6,,,,,,,,,,,,,,,,,,,,,,,
CASA CELSA,https://www.turismo.gal/recurso/-/detalle/15570/casa-celsa?langId=es_ES&tp=24&ctre=142,"Avenida Marqués de Valterra , nº 29 36190 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 890 543,,,"42º 24' 03.4"" N - 8º 41' 13.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA CONSISTORIAL,https://www.turismo.gal/recurso/-/detalle/6817/casa-consistorial?langId=es_ES&tp=9&ctre=39,Plaza de España 36002 Pontevedra - Pontevedra,Edificio singular,,+34 986 804 300,,,"42º 25' 55.1"" N - 8º 38' 48.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DAS CARAS,https://www.turismo.gal/recurso/-/detalle/20528/casa-das-caras?langId=es_ES&tp=9&ctre=37,Plaza da Estrella 36002 Pontevedra - Pontevedra,Casa grande,,,,,"42º 25' 54.7"" N - 8º 38' 38.1"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DE GONZÁLEZ ZÚÑIGA,https://www.turismo.gal/recurso/-/detalle/26192/casa-de-gonzalez-zuniga?langId=es_ES&tp=9&ctre=39,"Calle González Zúñiga, nº 1 36001 Pontevedra - Pontevedra",Edificio singular,,,,,"42º 25' 50.5"" N - 8º 38' 35.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DO BARÓN,https://www.turismo.gal/recurso/-/detalle/26231/casa-do-baron?langId=es_ES&tp=9&ctre=36,"Calle Barón, nº 19 36002 Pontevedra - Pontevedra",Pazo,,+34 986 855 800,,,"42º 26' 02.8"" N - 8º 38' 45.4"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DO MAR,https://www.turismo.gal/recurso/-/detalle/v-po-007890/casa-do-mar?langId=es_ES&tp=1001549&ctre=40000240,"CALLE SIMON BOLIVAR, S/N - MOLLABAO 0 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DURÁN,https://www.turismo.gal/recurso/-/detalle/r-po-000794/casa-duran?langId=es_ES&tp=24&ctre=142,"Virgen del Camino, nº 17 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 645 236 441,carova1980@gmail.com,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA ELVIRA,https://www.turismo.gal/recurso/-/detalle/15572/casa-elvira?langId=es_ES&tp=24&ctre=142,"Cobian Areal, 10 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 845 474,,,"42º 25' 43.9"" N - 8º 38' 18.2"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA FIDEL O PULPEIRO,https://www.turismo.gal/recurso/-/detalle/v-po-000240/casa-fidel-o-pulpeiro?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Nicolás, nº 7 36002 Pontevedra - Pontevedra",Café bar,,,casafidel@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA FINA,https://www.turismo.gal/recurso/-/detalle/v-po-008631/casa-fina?langId=es_ES&tp=1001549&ctre=40000240,"Lg. O Gabián, nº 14 36151 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA GÓTICA OU CASA DAS CAMPÁS,https://www.turismo.gal/recurso/-/detalle/200616000299/casa-gotica-ou-casa-das-campas?langId=es_ES&tp=9&ctre=39,"Calle Don Filiberto, nº 9 Pontevedra - Pontevedra",Edificio singular,,,,,"42º 25' 55.9"" N - 8º 38' 46.0"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,Conservado,,,,,,,,,,,,,,,,,,,,,,
CASA HERMINDA,https://www.turismo.gal/recurso/-/detalle/210321001854/casa-herminda?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Covadáspera - Verducido, nº 10 36151 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENSIÓN APARTAMENTO DE UNHA ESTRELA,https://www.turismo.gal/recurso/-/detalle/250414000440/pension-apartamento-de-unha-estrela-?langId=es_ES&tp=67&ctre=135,"Lugar Ponte Sampaio, nº 12 36690 Pontevedra - Pontevedra",Pensión,1 estrella,,j.estevezpazos@gmail.com,http://hostelalberguepontesampaio.com/,"42º 20' 55.1"" N - 8º 36' 26.5"" W",https://hostelalberguepontesampaio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA MARUXA,https://www.turismo.gal/recurso/-/detalle/258798160/casa-maruxa?langId=es_ES&tp=67&ctre=135,"Avenida Santa María , nº 12 36002 Pontevedra - Pontevedra",Pensión,1 estrella,,casamarujapontevedra@gmail.com,,"42º 25' 57.6"" N - 8º 38' 49.7"" W",,Camino Portugués | Camino Portugués de la costa,,,Calefacción central | TV en habitaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA MAYA BY EL MEJI,https://www.turismo.gal/recurso/-/detalle/c-po-001022/casa-maya-by-el-meji?langId=es_ES&tp=1001550&ctre=40000242,"Calle Virxe do Camiño, nº 5 36001 Pontevedra - Pontevedra",Cafetería,,+34 653 638 535,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA PAMPIN,https://www.turismo.gal/recurso/-/detalle/210721000352/casa-pampin?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Sobral, nº 40 36150 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA PEPE,https://www.turismo.gal/recurso/-/detalle/170227000087/casa-pepe?langId=es_ES&tp=1001549&ctre=40000240,"Calle O MARCO-TOMEZA, nº 4 36158 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA PLAZA PEREGRINA,https://www.turismo.gal/recurso/-/detalle/26194/casa-plaza-peregrina?langId=es_ES&tp=9&ctre=39,Plaza da Peregrina 36001 Pontevedra - Pontevedra,Edificio singular,,,,,"42º 25' 51.2"" N - 8º 38' 39.1"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA REY,https://www.turismo.gal/recurso/-/detalle/210306000439/casa-rey?langId=es_ES&tp=1001549&ctre=40000240,"Lg. O Sobral - San Andrés de Xeve, nº 47 36150 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA RIVAS,https://www.turismo.gal/recurso/-/detalle/v-po-003292/casa-rivas?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Gato Morto, nº 78 36151 Pontevedra - Pontevedra",Café bar,,,marcopontevedra@hotmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA SANTIAGO,https://www.turismo.gal/recurso/-/detalle/r-po-000800/casa-santiago?langId=es_ES&tp=24&ctre=142,"Sabaris, nº 54 36157 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 606 736 063,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA VERDUN,https://www.turismo.gal/recurso/-/detalle/v-po-006707/casa-verdun?langId=es_ES&tp=1001549&ctre=40000240,"C/ REAL, 46 0 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA VILLA PILAR,https://www.turismo.gal/recurso/-/detalle/26195/casa-villa-pilar?langId=es_ES&tp=9&ctre=39,Calle Marqués de Riestra 36001 Pontevedra - Pontevedra,Edificio singular,,,,,"42º 25' 49.0"" N - 8º 38' 49.2"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CASAS DE FDEZ. LÓPEZ, DE CASTRO MONTEAGUDO,...",https://www.turismo.gal/recurso/-/detalle/30883/casas-de-fdez.-lopez-de-castro-monteagudo-...?langId=es_ES&tp=9&ctre=39,"Pasantería, 10-12 36002 Pontevedra - Pontevedra",Edificio singular,,,,,"42º 25' 57.0"" N - 8º 38' 34.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,En el núcleo urbano. | Accesibilidad al recurso: peatonal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASAS HERRERÍAS,https://www.turismo.gal/recurso/-/detalle/26196/casas-herrerias?langId=es_ES&tp=9&ctre=39,Plaza da Herrería 36002 Pontevedra - Pontevedra,Edificio singular,,,,,"42º 25' 51.9"" N - 8º 38' 39.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,Núcleo urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTELAO,https://www.turismo.gal/recurso/-/detalle/c-po-000755/castelao?langId=es_ES&tp=1001550&ctre=40000242,"Calle Castelao , nº 5 36003 Pontevedra - Pontevedra",Cafetería,,,,,"42º 25' 47.7"" N - 8º 38' 31.6"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUSA STREET FOOD,https://www.turismo.gal/recurso/-/detalle/150903000008/causa-street-food?langId=es_ES&tp=1001549&ctre=40000240,"Calle Maceda, nº 8 36002 Pontevedra - Pontevedra",Café bar,,,pereztorresandre@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDROS DO HIMALAIA,https://www.turismo.gal/recurso/-/detalle/190527000485/cedros-do-himalaia?langId=es_ES&tp=40003930&ctre=40000140,Paseo de Cervantes 36001 Pontevedra - Pontevedra,Naturaleza en el Camino,,,,,"42º 25' 46.3"" N - 8º 38' 50.3"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTER,https://www.turismo.gal/recurso/-/detalle/15671/center?langId=es_ES&tp=24&ctre=142,"Rúa Michelena, nº 6 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 866 363,,,"42º 25' 51.6"" N - 8º 38' 40.7"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRO,https://www.turismo.gal/recurso/-/detalle/v-po-007513/centro?langId=es_ES&tp=1001549&ctre=40000240,"C/ PEREGRINA Nº 14, LOCAL 3 0 Pontevedra - Pontevedra",Café bar,,,,,"42º 25' 48.3"" N - 8º 38' 38.3"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRO COMERCIAL URBANO ZONA MONUMENTAL DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/269586805/centro-comercial-urbano-zona-monumental-de-pontevedra?langId=es_ES&tp=40&ctre=228,36602 Pontevedra - Pontevedra,Área Comercial Urbana,,+34 986 866 530,info@ccuzonamonumental.es,http://www.ccuzonamonumental.es/,"42º 25' 52.6"" N - 8º 38' 38.5"" W",http://www.ccuzonamonumental.es/,Camino Portugués | Camino Portugués de la costa,,,Aparcamiento | Cajero automático | Parada de autobús | Parada de taxi,,,,,,,,300.00,Librería | Inmobiliaria | Imagen y sonido | Hostelería | Ferretería y bricolaje | Electrodomésticos | Comunicaciones | Calzado | Banca | Regalos y hogar | Automoción | Alimentación | Moda y complementos,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRO DE INTERPRETACIÓN DAS TORRES ARCEBISPAIS,https://www.turismo.gal/recurso/-/detalle/280377030/centro-de-interpretacion-das-torres-arcebispais?langId=es_ES&tp=62&ctre=167,"Travesía do Mestre Mateo, nº 1 36002 Pontevedra - Pontevedra",Centros de interpretación,,+34 986 090 677,cita@pontevedra.eu,http://www.cita.pontevedra.gal/,"42º 25' 57.2"" N - 8º 38' 50.7"" W",http://www.cita.pontevedra.gal/,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVECERIA BLACKBIRD,https://www.turismo.gal/recurso/-/detalle/221202000037/cerveceria-blackbird?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Sebastián, nº 18 36001 Pontevedra - Pontevedra",Café bar,,,jorgedieguez79@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVECERIA BLACKBIRD,https://www.turismo.gal/recurso/-/detalle/v-po-002247/cerveceria-blackbird?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Sebastián, nº 19 36001 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVECERÍA EL BRUCK,https://www.turismo.gal/recurso/-/detalle/v-po-006817/cerveceria-el-bruck?langId=es_ES&tp=1001549&ctre=40000240,"Plaza Teucro, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANG EUFORIA,https://www.turismo.gal/recurso/-/detalle/c-po-001147/chang-euforia?langId=es_ES&tp=1001550&ctre=40000242,ESTACION FF.CC. PONTEVEDRA - CENTRO VIALIA 0 Pontevedra - Pontevedra,Cafetería,,,,,"42º 25' 20.4"" N - 8º 38' 09.7"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANG EUFORIA,https://www.turismo.gal/recurso/-/detalle/r-po-003517/chang-euforia?langId=es_ES&tp=24&ctre=142,ESTACION FF.CC. PONTEVEDRA - CENTRO VIALIA 0 Pontevedra - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHATITA, LA",https://www.turismo.gal/recurso/-/detalle/v-po-007582/chatita-la?langId=es_ES&tp=1001549&ctre=40000240,"PADRE FERNANDO OLMEDO, 20 0 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEER,https://www.turismo.gal/recurso/-/detalle/v-po-005565/cheer?langId=es_ES&tp=1001549&ctre=40000240,"Calle Figueroa, nº 25 36002 Pontevedra - Pontevedra",Café bar,,,02wcingolani@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHESTER,https://www.turismo.gal/recurso/-/detalle/150824000066/chester?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sarmiento, nº 38 36001 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINCHO II,https://www.turismo.gal/recurso/-/detalle/v-po-008733/chincho-ii?langId=es_ES&tp=1001549&ctre=40000240,"LG. LUSQUIÑOS, 19 36158 Pontevedra - Pontevedra",Café bar,,,,,"42º 24' 41.3"" N - 8º 37' 59.5"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
