nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información,distancia,soles_repsol,estrellas_michelin,situacion_visitas,municipio
BLANCO Y NEGRO,https://www.turismo.gal/recurso/-/detalle/c-po-000798/blanco-y-negro?langId=es_ES&tp=1001550&ctre=40000242,"Calle Enrique Labarta , nº 1 36001 Pontevedra - Pontevedra",Cafetería,,,,Donde comer,"42º 25' 48.1"" N - 8º 38' 48.1"" W",,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BLOOM,https://www.turismo.gal/recurso/-/detalle/180726000464/bloom?langId=es_ES&tp=1001550&ctre=40000242,"Calle Paxariñal, nº 2 36003 Pontevedra - Pontevedra",Cafetería,,+34 886 908 462,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BOCAITO,https://www.turismo.gal/recurso/-/detalle/c-po-000676/bocaito?langId=es_ES&tp=1001550&ctre=40000242,"Calle Chariño, nº 2 36002 Pontevedra - Pontevedra",Cafetería,,+34 986 866 586,recepcion@gestoriafuentes.com,Donde comer,"42º 25' 56.7"" N - 8º 38' 48.2"" W",mailto:recepcion@gestoriafuentes.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BOCARTE - ESPACIO GASTRONOMICO,https://www.turismo.gal/recurso/-/detalle/280383212/bocarte-espacio-gastronomico?langId=es_ES&tp=24&ctre=142,"Calle Nova de Arriba, nº 7 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,info@bocartefusion.com,Donde comer,,mailto:info@bocartefusion.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
BOCATERIA M & J CACAO,https://www.turismo.gal/recurso/-/detalle/180417000261/bocateria-m-j-cacao?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cobián Roffignac, nº 15 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BOCATERIA SANCHEZ,https://www.turismo.gal/recurso/-/detalle/200415000116/bocateria-sanchez?langId=es_ES&tp=1001549&ctre=40000240,"Calle Marquesa, nº 8 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BOCATERIA TIO GILITO,https://www.turismo.gal/recurso/-/detalle/191022000253/bocateria-tio-gilito?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rúa Estrada, nº 23 36004 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BODEGON O XAMON,https://www.turismo.gal/recurso/-/detalle/v-po-003239/bodegon-o-xamon?langId=es_ES&tp=1001549&ctre=40000240,"Calle Santa Clara, nº 37 36002 Pontevedra - Pontevedra",Café bar,,,bodegonoxamon@gmail.com,Donde comer,,mailto:bodegonoxamon@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BORONA II,https://www.turismo.gal/recurso/-/detalle/c-po-001073/borona-ii?langId=es_ES&tp=1001550&ctre=40000242,"Calle Joaquín Costa , nº 28 36001 Pontevedra - Pontevedra",Cafetería,,,,Donde comer,"42º 25' 42.9"" N - 8º 38' 24.8"" W",,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BOTANIC,https://www.turismo.gal/recurso/-/detalle/v-po-003314/botanic?langId=es_ES&tp=1001549&ctre=40000240,"Calle Barcelos, nº 14 36002 Pontevedra - Pontevedra",Café bar,,,pablopazos62@gmail.com,Donde comer,,mailto:pablopazos62@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BREAKING THE RULES CAFE BAR,https://www.turismo.gal/recurso/-/detalle/v-po-004041/breaking-the-rules-cafe-bar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Maria Victoria Moreno, nº 46 36003 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BREOGÁN,https://www.turismo.gal/recurso/-/detalle/v-po-005766/breogan?langId=es_ES&tp=1001549&ctre=40000240,"RÚA SANTIÑA, 11, BAIXO 36005 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BUBELA,https://www.turismo.gal/recurso/-/detalle/v-po-006638/bubela?langId=es_ES&tp=1001549&ctre=40000240,RUA SAN CAYETANO 25-A ALBA 36157 Pontevedra - Pontevedra,Café bar,,,manologarciabubela@gmail.com,Donde comer,,mailto:manologarciabubela@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
"BUEN COMER, EL",https://www.turismo.gal/recurso/-/detalle/15558/buen-comer-el?langId=es_ES&tp=24&ctre=142,"Cruz Gallastegui, nº 17 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 847 044,,Donde comer,"42º 25' 45.3"" N - 8º 38' 22.2"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
BUHO AZUL,https://www.turismo.gal/recurso/-/detalle/v-po-007509/buho-azul?langId=es_ES&tp=1001549&ctre=40000240,"Avenida BUENOS AIRES, nº 16 36002 Pontevedra - Pontevedra",Café bar,,,jorgemanuelgarcia@hotmail.com,Donde comer,,mailto:jorgemanuelgarcia@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BULEBULE,https://www.turismo.gal/recurso/-/detalle/200915000175/bulebule?langId=es_ES&tp=1001549&ctre=40000240,"Calle Pintor Laxeiro, nº 38 36004 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
BURGER KING,https://www.turismo.gal/recurso/-/detalle/190910000048/burger-king?langId=es_ES&tp=24&ctre=142,"Calle Da Carrasqueira, nº 1 36004 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 675 783 679,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
BURGER KING,https://www.turismo.gal/recurso/-/detalle/269982299/burger-king?langId=es_ES&tp=24&ctre=142,"Plaza Curros Enriquez, nº 14 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,"42º 25' 55.9"" N - 8º 38' 42.0"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CAFE - BAR LA RANA VERDE,https://www.turismo.gal/recurso/-/detalle/v-po-009649/cafe-bar-la-rana-verde?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cruz Gallastegui, nº 4 36003 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE - BAR PLAZA DE ABASTOS,https://www.turismo.gal/recurso/-/detalle/v-po-008271/cafe-bar-plaza-de-abastos?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sierra - (Mercado de Abastos), nº 5 - Posto 3 - 4 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR 29 30,https://www.turismo.gal/recurso/-/detalle/v-po-007552/cafe-bar-29-30?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Filgueira, nº 3 36150 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR A DEVESA 8,https://www.turismo.gal/recurso/-/detalle/160308000023/cafe-bar-a-devesa-8?langId=es_ES&tp=1001549&ctre=40000240,"Calle A BARCA, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,http://www.adevesa.es/,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR A PARADA,https://www.turismo.gal/recurso/-/detalle/180530000521/cafe-bar-a-parada?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Avenida de Marín , nº 1 36003 Pontevedra - Pontevedra",Café bar,,,manolo.aparada@gmail.com,Donde comer,,mailto:manolo.aparada@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR AMOFREI,https://www.turismo.gal/recurso/-/detalle/211130000286/cafe-bar-amofrei?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Avenida Portugal (UNED - Monteporreiro), nº 1 36162 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR APOLO,https://www.turismo.gal/recurso/-/detalle/v-po-000124/cafe-bar-apolo?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Antoniño, nº 7 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR ARUME,https://www.turismo.gal/recurso/-/detalle/v-po-004093/cafe-bar-arume?langId=es_ES&tp=1001549&ctre=40000240,"Calle Joaquín Costa, nº 79 36004 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR BLUE,https://www.turismo.gal/recurso/-/detalle/191023000261/cafe-bar-blue?langId=es_ES&tp=1001549&ctre=40000240,Carretera CABANAS N550 KM125 36143 Pontevedra - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR CULTURAL LEREZ,https://www.turismo.gal/recurso/-/detalle/210310000984/cafe-bar-cultural-lerez?langId=es_ES&tp=1001549&ctre=40000240,"Rúa Leandro del Río, nº 12 36156 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
PASARELA,https://www.turismo.gal/recurso/-/detalle/v-po-007399/pasarela?langId=es_ES&tp=1001549&ctre=40000240,"Calle JOSE ADRIO BARREIRO, nº 4 36004 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,mailto:jgendec@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ BAR LA ESTRELLA,https://www.turismo.gal/recurso/-/detalle/190729000395/cafe-bar-la-estrella?langId=es_ES&tp=1001549&ctre=40000240,"Calle Abundancia, nº 8 36004 Pontevedra - Pontevedra",Café bar,,,angelicasotoramirez73@gmail.com,Donde comer,,mailto:angelicasotoramirez73@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR LA TERRAZA,https://www.turismo.gal/recurso/-/detalle/v-po-007206/cafe-bar-la-terraza?langId=es_ES&tp=1001549&ctre=40000240,"Lg. San Caetano , nº 33 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR MAZAGAN,https://www.turismo.gal/recurso/-/detalle/v-po-002327/cafe-bar-mazagan?langId=es_ES&tp=1001549&ctre=40000240,"Calle Loureiro Crespo, nº 19 36002 Pontevedra - Pontevedra",Café bar,,,contabilidad@gestoriafuentes.com,Donde comer,,mailto:contabilidad@gestoriafuentes.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ BAR MODERNO,https://www.turismo.gal/recurso/-/detalle/v-po-009261/cafe-bar-moderno?langId=es_ES&tp=1001549&ctre=40000240,"Plaza San José, nº 3 36001 Pontevedra - Pontevedra",Café bar,,,arismartineznanuel@gmail.com,Donde comer,,mailto:arismartineznanuel@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR OS CARBALLOS,https://www.turismo.gal/recurso/-/detalle/v-po-007842/cafe-bar-os-carballos?langId=es_ES&tp=1001549&ctre=40000240,"Plaza Praza da Verdura, nº 9 36002 Pontevedra - Pontevedra",Café bar,,,prietocal@yahoo.es,Donde comer,,mailto:prietocal@yahoo.es,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ BAR RÍAS BAJAS,https://www.turismo.gal/recurso/-/detalle/210309000803/cafe-bar-rias-bajas?langId=es_ES&tp=1001549&ctre=40000240,"Calle Castelao, nº 2 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ BAR SOL,https://www.turismo.gal/recurso/-/detalle/210321001857/cafe-bar-sol?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Porta do Sol - Lérez, nº 33 36156 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR T Y J,https://www.turismo.gal/recurso/-/detalle/v-po-002040/cafe-bar-t-y-j?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Cabanas, nº 25 36143 Pontevedra - Pontevedra",Café bar,,,cafebartyj@gmail.com,Donde comer,,mailto:cafebartyj@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR TRIBUNA,https://www.turismo.gal/recurso/-/detalle/v-po-006890/cafe-bar-tribuna?langId=es_ES&tp=1001549&ctre=40000240,"Calle Conde Bugallal, nº 1 36004 Pontevedra - Pontevedra",Café bar,,,natividadtohux@gmail.com,Donde comer,,mailto:natividadtohux@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR XUNTA DE GALICIA PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/210305000349/cafe-bar-xunta-de-galicia-pontevedra?langId=es_ES&tp=1001549&ctre=40000240,"Avenida María Victoria Moreno, nº 43 36003 Pontevedra - Pontevedra",Café bar,,,comercial@grupozaka.com,Donde comer,,mailto:comercial@grupozaka.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE BAR YUYI,https://www.turismo.gal/recurso/-/detalle/v-po-006563/cafe-bar-yuyi?langId=es_ES&tp=1001549&ctre=40000240,"Calle Gerardo Alvarez Limeses, nº 4 36004 Pontevedra - Pontevedra",Café bar,,,bazanreyesjuan@gmail.com,Donde comer,,mailto:bazanreyesjuan@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ BOGOTÁ BAR,https://www.turismo.gal/recurso/-/detalle/v-po-000958/cafe-bogota-bar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Joaquín Costa, nº 42 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE CENTRAL,https://www.turismo.gal/recurso/-/detalle/c-po-000787/cafe-central?langId=es_ES&tp=1001550&ctre=40000242,"Calle PEREGRINA, nº 30 36002 Pontevedra - Pontevedra",Cafetería,,+34 886 202 870,CAFECENTRALPONTEVEDRA@GMAIL.COM,Donde comer,"42º 25' 46.4"" N - 8º 38' 35.2"" W",mailto:CAFECENTRALPONTEVEDRA@GMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE COLON,https://www.turismo.gal/recurso/-/detalle/c-po-000157/cafe-colon?langId=es_ES&tp=1001550&ctre=40000242,"Paseo Paseo De Colón, nº 18 36002 Pontevedra - Pontevedra",Cafetería,,+34 629 844 383,cafecentralpontevedra@gamil.com,Donde comer,"42º 25' 52.3"" N - 8º 39' 05.1"" W",mailto:cafecentralpontevedra@gamil.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ JOSMAR,https://www.turismo.gal/recurso/-/detalle/v-po-004138/cafe-josmar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Augusto García Sánchez, nº 1 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE MUSEO DA HISTORIA,https://www.turismo.gal/recurso/-/detalle/v-po-000847/cafe-museo-da-historia?langId=es_ES&tp=1001549&ctre=40000240,"Calle Arzobispo Malvar, nº 30 36002 Pontevedra - Pontevedra",Café bar,,,FERFETA@HOTMAIL.COM,Donde comer,,mailto:FERFETA@HOTMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE SUPREMO,https://www.turismo.gal/recurso/-/detalle/v-po-008648/cafe-supremo?langId=es_ES&tp=1001549&ctre=40000240,"Calle Do Forno, nº 1 36003 Pontevedra - Pontevedra",Café bar,,,supremocafe@hotmail.com,Donde comer,,mailto:supremocafe@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ-BAR A CAÑOTA,https://www.turismo.gal/recurso/-/detalle/150714000065/cafe-bar-a-canota?langId=es_ES&tp=1001549&ctre=40000240,"LG. A CAÑOTA, nº 4 36156 Pontevedra - Pontevedra",Café bar,,+34 697 327 484,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE-BAR A D'OUTEIRO,https://www.turismo.gal/recurso/-/detalle/v-po-007867/cafe-bar-a-d-outeiro?langId=es_ES&tp=1001549&ctre=40000240,"Calle Alemania, nº 60 36162 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE-BAR AROMAS,https://www.turismo.gal/recurso/-/detalle/v-po-009878/cafe-bar-aromas?langId=es_ES&tp=1001549&ctre=40000240,"Calle Mariscal Pardo de Cela, nº 7 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFE-BAR LA CUEVA,https://www.turismo.gal/recurso/-/detalle/v-po-007594/cafe-bar-la-cueva?langId=es_ES&tp=1001549&ctre=40000240,"Calle Mariscal Pardo de Cela, nº 5 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFÉ-BAR LA ESQUINA,https://www.turismo.gal/recurso/-/detalle/150626000150/cafe-bar-la-esquina?langId=es_ES&tp=1001549&ctre=40000240,PZ. CITARA Nº 1 36004 Pontevedra - Pontevedra,Café bar,,+34 655 926 498,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETARIA BERKANA,https://www.turismo.gal/recurso/-/detalle/c-po-001188/cafetaria-berkana?langId=es_ES&tp=1001550&ctre=40000242,"Plaza Da Cítara , nº 3 36004 Pontevedra - Pontevedra",Cafetería,,,,Donde comer,"42º 25' 40.1"" N - 8º 37' 45.9"" W",,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETERIA A DEVESA - CAMPOLONGO,https://www.turismo.gal/recurso/-/detalle/c-po-001129/cafeteria-a-devesa-campolongo?langId=es_ES&tp=1001550&ctre=40000242,"Plaza Veiga Da Eira, nº 3 36003 Pontevedra - Pontevedra",Cafetería,,,,Donde comer,,http://www.adevesa.es/,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETERIA ACUÑA,https://www.turismo.gal/recurso/-/detalle/230929000455/cafeteria-acuna?langId=es_ES&tp=1001549&ctre=40000240,"Calle Benito Corbal, nº 1 36001 Pontevedra - Pontevedra",Café bar,,+34 986 861 099,acunovacb@gmail.com,Donde comer,,mailto:acunovacb@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETERIA ACUÑA,https://www.turismo.gal/recurso/-/detalle/c-po-001176/cafeteria-acuna-?langId=es_ES&tp=1001550&ctre=40000242,"Calle San Mauro, nº 13 36004 Pontevedra - Pontevedra",Cafetería,,+34 986 861 099,,Donde comer,"42º 25' 39.6"" N - 8º 37' 41.7"" W",,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETERIA HOTEL GALICIA PALACE,https://www.turismo.gal/recurso/-/detalle/240520000398/cafeteria-hotel-galicia-palace?langId=es_ES&tp=1001550&ctre=40000242,"Avenida De Vigo, nº 3 36003 Pontevedra - Pontevedra",Cafetería,,+34 986 864 411,reservas@galiciapalace.com,Donde comer,,mailto:reservas@galiciapalace.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETERIA LEX,https://www.turismo.gal/recurso/-/detalle/c-po-000809/cafeteria-lex?langId=es_ES&tp=1001550&ctre=40000242,"Plaza Fermín Bouza Brey, nº 3 36004 Pontevedra - Pontevedra",Cafetería,,+34 627 746 247,nuevoibiza188@gmail.com,Donde comer,"42º 25' 29.6"" N - 8º 37' 59.6"" W",mailto:nuevoibiza188@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETERIA QUECHE,https://www.turismo.gal/recurso/-/detalle/c-po-000790/cafeteria-queche?langId=es_ES&tp=1001550&ctre=40000242,"Calle Javier Puig Lamas, nº 17 36002 Pontevedra - Pontevedra",Cafetería,,+34 655 446 226,,Donde comer,"42º 25' 51.1"" N - 8º 38' 18.2"" W",,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAFETERIA-RESTAURANTE MERCANTIL PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/170223000083/cafeteria-restaurante-mercantil-pontevedra?langId=es_ES&tp=24&ctre=142,"Lg. Cons, nº 32 36164 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 851 670,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CAFETÍN,https://www.turismo.gal/recurso/-/detalle/1435/cafetin?langId=es_ES&tp=24&ctre=142,RUA ALAMEDA 1 36003 Pontevedra - Pontevedra,Restaurante,3º Categoría - 2 Tenedores,+34 986 847 873,,Donde comer,"42º 25' 52.6"" N - 8º 38' 53.7"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CALIMA,https://www.turismo.gal/recurso/-/detalle/180508000072/calima?langId=es_ES&tp=1001549&ctre=40000240,"Calle Licenciado Francisco de Paula Cousiño, nº 16 36002 Pontevedra - Pontevedra",Café bar,,,paulitamare10@gmail.com,Donde comer,,mailto:paulitamare10@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAMBALACHE,https://www.turismo.gal/recurso/-/detalle/211222000182/cambalache?langId=es_ES&tp=24&ctre=142,"Calle Eduardo Pondal, nº 4 36003 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,cambalachepontevedra@gmail.com,Donde comer,,mailto:cambalachepontevedra@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAMBALACHE,https://www.turismo.gal/recurso/-/detalle/280197974/cambalache?langId=es_ES&tp=24&ctre=142,"RÚA COBIÁN ROFFIGNAC, 9, BAIXO 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,,boavila@pizzeriascambalache.es,Donde comer,"42º 25' 54.4"" N - 8º 38' 32.2"" W",mailto:boavila@pizzeriascambalache.es,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CAMPANIOLA,https://www.turismo.gal/recurso/-/detalle/274930810/campaniola?langId=es_ES&tp=24&ctre=142,"Lg. Cabaleiro, nº 35 36157 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 886 166 910,recepcion@hotelruralcampaniola.com,Donde comer,"42º 27' 51.0"" N - 8º 39' 56.0"" W",mailto:recepcion@hotelruralcampaniola.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CAMPELOS DE COTO,https://www.turismo.gal/recurso/-/detalle/210305000382/campelos-de-coto?langId=es_ES&tp=1001549&ctre=40000240,"Polígono Industrial o Campiño, nº 27 36158 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CANDELA GRILL,https://www.turismo.gal/recurso/-/detalle/15546/candela-grill?langId=es_ES&tp=24&ctre=142,"Calle Real, nº 4 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,"42º 25' 59.7"" N - 8º 38' 42.8"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CANTINA DEL CHARRO,https://www.turismo.gal/recurso/-/detalle/15568/cantina-del-charro?langId=es_ES&tp=24&ctre=142,"ALAMEDA, 14 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 862 200,,Donde comer,"42º 25' 49.2"" N - 8º 39' 00.6"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CAPRI I,https://www.turismo.gal/recurso/-/detalle/160323000132/capri-i?langId=es_ES&tp=1001549&ctre=40000240,"Calle GARCIA CAMBA, nº 4 36001 Pontevedra - Pontevedra",Café bar,,+34 986 852 397,confiteria@capripontevedra.com,Donde comer,"42º 25' 47.6"" N - 8º 38' 40.9"" W",mailto:confiteria@capripontevedra.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CARABELA,https://www.turismo.gal/recurso/-/detalle/v-po-000204/carabela?langId=es_ES&tp=1001549&ctre=40000240,"Plaza Da Estrela, nº nº 1 36002 Pontevedra - Pontevedra",Café bar,,,beatrizpaulacarames@hotmail.com,Donde comer,,mailto:beatrizpaulacarames@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CARALLO 29,https://www.turismo.gal/recurso/-/detalle/v-po-006767/carallo-29?langId=es_ES&tp=1001549&ctre=40000240,"Calle César Boente, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAROLO GASTRO-BAR,https://www.turismo.gal/recurso/-/detalle/v-po-000991/carolo-gastro-bar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Alameda, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,caroloeugenio@gmail.com,Donde comer,,mailto:caroloeugenio@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CASA BEREBERES,https://www.turismo.gal/recurso/-/detalle/15544/casa-bereberes?langId=es_ES&tp=24&ctre=142,"Calle Conde Bugallal, nº 86 36004 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 616 232 357,LABORAL@LABORSENN.ES,Donde comer,"42º 25' 03.8"" N - 8º 38' 00.6"" W",mailto:LABORAL@LABORSENN.ES,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CASA BOULLOSA,https://www.turismo.gal/recurso/-/detalle/v-po-006514/casa-boullosa?langId=es_ES&tp=1001549&ctre=40000240,RAMON OTERO PEDRAYO 5 PONTEVEDRA 36161 Pontevedra - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CASA CELSA,https://www.turismo.gal/recurso/-/detalle/15570/casa-celsa?langId=es_ES&tp=24&ctre=142,"Avenida Marqués de Valterra , nº 29 36190 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 890 543,,Donde comer,"42º 24' 03.4"" N - 8º 41' 13.9"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
