nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información,distancia,soles_repsol,estrellas_michelin,situacion_visitas
HOTEL CERVANTES,https://www.turismo.gal/recurso/-/detalle/130/hotel-cervantes?langId=es_ES&tp=22&ctre=129,"Calle Progreso, nº 31 36960 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 720 700,sernieto@sernieto.com,Donde alojarse,"42º 24' 05.4"" N - 8º 48' 18.3"" W",mailto:sernieto@sernieto.com,Admite tarjetas de crédito | Bar-Cafetería | Calefacción central | Calefacción individual | Teléfono en habitaciones | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL CONS DA GARDA,https://www.turismo.gal/recurso/-/detalle/2297/hotel-cons-da-garda?langId=es_ES&tp=22&ctre=129,"AREA, nº 33 36988 O Grove - Pontevedra",Hotel,1 Estrella,+34 986 738 493,info@hotelconsdagarda.com,Donde alojarse,"42º 27' 59.3"" N - 8º 55' 32.0"" W",mailto:info@hotelconsdagarda.com,Admite perros | Admite tarjetas de crédito | Aire acondicionado | Alquiler de bicicletas | Antena parabólica | Bar-Cafetería | Calefacción central | Desayuno incluido en el precio | Hab. fumadores / no fumadores | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Lavandería | Parking de superficie | Piscina | Restaurante | Sala de Reuniones | Salón de estar | Secador pelo en habitaciones | Se habla alemán | Se habla francés | Se habla inglés | Servicio de canguro | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL COSTA VERDE,https://www.turismo.gal/recurso/-/detalle/258769392/hotel-costa-verde?langId=es_ES&tp=22&ctre=129,"Carretera Xeral de Viladesuso, nº 168 36309 Oia - Pontevedra",Hotel,2 Estrellas,+34 986 361 561,info@hotelrestaurantecostaverde.es,Donde alojarse,"42º 02' 12.8"" N - 8º 52' 51.4"" W",mailto:info@hotelrestaurantecostaverde.es,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Hab. fumadores / no fumadores | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Parking de superficie | Sala de Reuniones | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | TV en habitaciones,Comida o cena | Desayuno,,,Camino Portugués de la costa,,Grado de Accesibilidad: Practicable | Documentos de accesibilidad (2018): | Descargue este documento,,,,,,,,,,,,
HOTEL DEL MAR,https://www.turismo.gal/recurso/-/detalle/1986/hotel-del-mar?langId=es_ES&tp=22&ctre=129,"Paseo Praia do Silgar , nº 52 36990 Sanxenxo - Pontevedra",Hotel,2 Estrellas,,derlmarhotel@hotmail.es,Donde alojarse,"42º 24' 05.4"" N - 8º 48' 42.6"" W",mailto:derlmarhotel@hotmail.es,Admite tarjetas de crédito | Antena parabólica | Ascensor | Bar-Cafetería | Habitaciones familiares | Internet / wifi en zonas comunes | Parking de superficie | Se habla inglés | Teléfono en habitaciones | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL DEL MAR,https://www.turismo.gal/recurso/-/detalle/2570/hotel-del-mar?langId=es_ES&tp=22&ctre=129,"Calle Luis Taboada , nº 36 36201 Vigo - Pontevedra",Hotel,1 Estrella,+34 986 436 811,hoteldelmar@worldonline.es,Donde alojarse,"42º 14' 23.8"" N - 8º 43' 15.3"" W",mailto:hoteldelmar@worldonline.es,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción central | Calefacción individual | Edificio histórico | Hab. fumadores / no fumadores | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Secador pelo en habitaciones | Servicio de fax | Teléfono en habitaciones | TV en habitaciones | Vídeo / DVD en habitaciones,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
HOTEL DELFIN AZUL,https://www.turismo.gal/recurso/-/detalle/142/hotel-delfin-azul-?langId=es_ES&tp=22&ctre=129,"Carretera A Lanzada, nº 118 36990 Sanxenxo - Pontevedra",Hotel,2 Estrellas,,garcia.rey.estrella@gmail.com,Donde alojarse,"42º 25' 56.4"" N - 8º 52' 16.0"" W",mailto:garcia.rey.estrella@gmail.com,Admite tarjetas de crédito | Aire acondicionado | Alquiler de bicicletas | Antena parabólica | Área de juegos para niños | Ascensor | Bar-Cafetería | Biblioteca | Calefacción central | Calefacción individual | Garaje gratuito | Hab. fumadores / no fumadores | Habitaciones familiares | Jardín terraza | Lavandería | Minibar | Parking de superficie | Parque infantil | Restaurante | Salón de estar | Secador pelo en habitaciones | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL DUENDE,https://www.turismo.gal/recurso/-/detalle/2510/hotel-duende?langId=es_ES&tp=22&ctre=129,"Calle Ourense, nº 10 36630 Cambados - Pontevedra",Hotel,1 Estrella,+34 986 543 075,info@hotelelduende.com,Donde alojarse,"42º 30' 54.9"" N - 8º 48' 50.2"" W",mailto:info@hotelelduende.com,Admite tarjetas de crédito | Ascensor | Calefacción central | Desayuno incluido en el precio | Garaje de pago | Garaje gratuito | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Secador pelo en habitaciones | Teléfono en habitaciones | TV en habitaciones,Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,,Master Card | Visa,,,,,,
HOTEL EUROSTARS ISLA DE LA TOJA,https://www.turismo.gal/recurso/-/detalle/28896/hotel-eurostars-isla-de-la-toja?langId=es_ES&tp=22&ctre=129,"Calle Isla de la Toja, nº sn 36991 O Grove - Pontevedra",Hotel,4 Estrellas,+34 986 730 050,reservas@eurostarsisladelatoja.com,Donde alojarse,"42º 28' 59.1"" N - 8º 50' 50.9"" W",mailto:reservas@eurostarsisladelatoja.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler equipos audiovisuales | Ascensor | Bar-Cafetería | Biblioteca | Caja Fuerte individual | Calefacción central | Garaje de pago | Gimnasio | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Minibar | Parking de superficie | Piscina | Piscina climatizada | Piscina infantil | Restaurante | Sala de Reuniones | Salón de convenciones | Salón de estar | Sauna | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de canguro | Servicio médico | Spa | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,"Nombre | Superficie | Altura | Clase | Cóctel | Restaurante | Teatro | Sala C 118 2,7 40 120 80 50 | Sala B 118 2,7 40 120 80 50 | Sala A 644 5 270 700 480 500",,,,,,,
HOTEL EXE VIA ARGENTUM,https://www.turismo.gal/recurso/-/detalle/36426/hotel-exe-via-argentum?langId=es_ES&tp=22&ctre=129,"Calle Outeiro , nº 52 36540 Silleda - Pontevedra",Hotel,4 Estrellas,+34 986 581 330,reservas@exeviaargentum.com,Donde alojarse,"42º 42' 13.2"" N - 8º 14' 25.8"" W",mailto:reservas@exeviaargentum.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler equipos audiovisuales | Antena parabólica | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Gimnasio | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Minibar | Restaurante | Sala de Reuniones | Salón de convenciones | Sauna | Secador pelo en habitaciones | Se habla inglés | Spa | Teléfono en habitaciones | TV en habitaciones,,,,Camino de Invierno | Vía de la Plata,,,,Acceso Internet | Área de recepción | Azafatas | Fax | Fotocopiadora | Guardarropa | Megafonía | Pantallas | Pizarra de papel | Podiums | Proyección de cine | Proyectores | Relaciones públicas | Salones divisibles | Servicio de seguridad | Servicio Postal | Tablones de anuncios | Vídeo,,,"Nombre | Superficie | Altura | Clase | Cóctel | Restaurante | Teatro | Fervenza 128 3,9 55 116 102 112 | Ulla 213 3.9 92 193 170 185 | Deza 191 3,9 83 175 153 166 | Carboeiro 205 3,9 89 186 164 178",,,,,,,
HOTEL FONTEVERDE,https://www.turismo.gal/recurso/-/detalle/261432088/hotel-fonteverde?langId=es_ES&tp=22&ctre=129,"Calle Bernardo Sagasta , nº 15 36670 Cuntis - Pontevedra",Hotel,2 Estrellas,+34 986 548 488,info@hotelfonteverde.com,Donde alojarse,"42º 37' 59.0"" N - 8º 33' 56.3"" W",mailto:info@hotelfonteverde.com,Admite tarjetas de crédito | Biblioteca | Calefacción central | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Salón de estar | Se habla francés | Teléfono en habitaciones | TV en habitaciones,Desayuno,,,,,,,,,,,4B | Master Card | Red 6000 | ServiRed | Visa,,,,,,
HOTEL FOXOS,https://www.turismo.gal/recurso/-/detalle/272911949/hotel-foxos?langId=es_ES&tp=22&ctre=129,"A LANZADA, nº 2 36990 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 743 241,info@hotelfoxos.com,Donde alojarse,"42º 25' 31.0"" N - 8º 52' 20.9"" W",mailto:info@hotelfoxos.com,Admite tarjetas de crédito | Área de juegos para niños | Bar-Cafetería | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Parking de superficie | Salón de convenciones | Secador pelo en habitaciones | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL GBC ARCADE,https://www.turismo.gal/recurso/-/detalle/250512000184/hotel-gbc-arcade?langId=es_ES&tp=22,"Avenida Castelao, nº 1 36390 Soutomaior - Pontevedra",Hoteles,2 Estrellas,,Hotelesbuencamino@gmail.com,Donde alojarse,"42º 20' 39.0"" N - 8º 36' 41.6"" W",mailto:Hotelesbuencamino@gmail.com,,,,,,,,,,,,,,,,,,,
HOTEL HOLLYWOOD,https://www.turismo.gal/recurso/-/detalle/28448/hotel-hollywood?langId=es_ES&tp=22&ctre=129,"Avenida Marín, nº 6 36940 Cangas - Pontevedra",Hotel,2 Estrellas,,,Donde alojarse,"42º 15' 55.8"" N - 8º 46' 46.3"" W",,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Antena parabólica | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción individual | Cambio de moneda | Discoteca | Garaje de pago | Garaje gratuito | Habitaciónes con salón-suites | Habitaciones familiares | Internet en habitaciones / wifi | Jardín terraza | Minibar | Parking de superficie | Sala de Reuniones | Salón de convenciones | Secador pelo en habitaciones | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,,,,,,,,,,,,,,,,,,
HOTEL INFFINIT SANXENXO,https://www.turismo.gal/recurso/-/detalle/10904/hotel-inffinit-sanxenxo?langId=es_ES&tp=22&ctre=129,"Paseo Praia de Silgar, nº 15 36960 Sanxenxo - Pontevedra",Hotel,3 Estrellas,+34 986 721 007,sanxenxo.hotel@inffinit.com,Donde alojarse,"42º 23' 58.4"" N - 8º 49' 08.2"" W",mailto:sanxenxo.hotel@inffinit.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Antena parabólica | Área de juegos para niños | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción individual | Garaje de pago | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Minibar | Parking de superficie | Sala de Reuniones | Salón de convenciones | Secador pelo en habitaciones | Se habla inglés | Teléfono en habitaciones | TV en habitaciones,Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL INFFINIT VIGO,https://www.turismo.gal/recurso/-/detalle/32178/hotel-inffinit-vigo?langId=es_ES&tp=22&ctre=129,"Calle Marqués de Valladares, nº 14 36201 Vigo - Pontevedra",Hotel,3 Estrellas,,vigo.hotel@inffinit.com,Donde alojarse,"42º 14' 17.4"" N - 8º 43' 25.3"" W",mailto:vigo.hotel@inffinit.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler equipos audiovisuales | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Garaje de pago | Hab. fumadores / no fumadores | Habitaciónes con salón-suites | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Minibar | Sala de Reuniones | Salón de convenciones | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Teléfono en habitaciones | TV en habitaciones,Desayuno,,,Camino Portugués de la costa,,,,,,,,,,,,,,
HOTEL LA ASTURIANA,https://www.turismo.gal/recurso/-/detalle/8490/hotel-la-asturiana?langId=es_ES&tp=22&ctre=129,"Lugar Gondar, nº 48 36990 Sanxenxo - Pontevedra",Hotel,3 Estrellas,,INFO@NUEVOASTUR.COM,Donde alojarse,"42º 26' 16.8"" N - 8º 49' 39.9"" W",mailto:INFO@NUEVOASTUR.COM,Admite tarjetas de crédito | Antena parabólica | Ascensor | Caja Fuerte individual | Calefacción central | Secador pelo en habitaciones | Se habla inglés | Teléfono en habitaciones | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL LA RECTORAL,https://www.turismo.gal/recurso/-/detalle/210324001969/hotel-la-rectoral?langId=es_ES&tp=22&ctre=129,"Lugar A Margarida, nº 18 36877 Covelo - Pontevedra",Hotel,4 Estrellas,+34 986 597 596,info@hotelrectoral.com,Donde alojarse,"42º 12' 08.7"" N - 8º 23' 13.4"" W",mailto:info@hotelrectoral.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Alquiler equipos audiovisuales | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Edificio histórico | Garaje de pago | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Jardín terraza | Minibar | Parking de superficie | Piscina | Restaurante | Sala de Reuniones | Salón de convenciones | Salón de estar | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Cena | Comida | Comida o cena | Desayuno | Media pensión | Pensión alimenticia,,,,,,,,,,,4B | American Express | Master Card | Red 6000 | Visa,,,,,,
HOTEL LEAL-LA SIRENA,https://www.turismo.gal/recurso/-/detalle/2370/hotel-leal-la-sirena?langId=es_ES&tp=22&ctre=129,"Avenida As Sinas, nº 64 36620 Vilanova de Arousa - Pontevedra",Hotel,1 Estrella,+34 986 554 112,INFO@HOTEL-LEAL.COM,Donde alojarse,"42º 34' 30.7"" N - 8º 49' 34.8"" W",mailto:INFO@HOTEL-LEAL.COM,Admite perros | Admite tarjetas de crédito | Aire acondicionado | Alquiler equipos audiovisuales | Área de juegos para niños | Ascensor | Bar-Cafetería | Calefacción central | Cambio de moneda | Garaje gratuito | Habitaciones familiares | Internet / wifi en zonas comunes | Jardín terraza | Parking de superficie | Sala de Reuniones | Salón de convenciones | Se habla francés | Se habla inglés | Servicio de canguro | Servicio de fax | Servicio de habitaciones 24 h. | TV en habitaciones,Comida o cena | Desayuno Buffet | Media pensión | Pensión alimenticia,,,Ruta del Mar de Arousa y Ulla,,,,,,,,4B | Euro Card | Master Card | Red 6000 | ServiRed | Visa,,,,,,
HOTEL LOS NARANJOS,https://www.turismo.gal/recurso/-/detalle/117/hotel-los-naranjos?langId=es_ES&tp=22&ctre=129,"FONTE DE ONS , nº 9 36990 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 743 130,direccion@hotelosnaranjos.com,Donde alojarse,"42º 26' 43.4"" N - 8º 51' 36.5"" W",mailto:direccion@hotelosnaranjos.com,Admite tarjetas de crédito | Área de juegos para niños | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Garaje gratuito | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Parking de superficie | Parque infantil | Piscina | Piscina climatizada | Piscina infantil | Restaurante | Sala de Reuniones | Salón de convenciones | Se habla inglés | Teléfono en habitaciones | TV en habitaciones,Cena | Comida | Desayuno | Desayuno Buffet | Media pensión | Pensión alimenticia,,,Ruta del Mar de Arousa y Ulla,,,,,,,,4B | Dinners Club | Euro Card | Euro Cav | Master Card | Multibanco | Red 6000 | ServiRed | Visa,,,,,,
HOTEL MAR DEL NORTE,https://www.turismo.gal/recurso/-/detalle/1993/hotel-mar-del-norte?langId=es_ES&tp=22&ctre=129,"As Lampans, nº 54 36980 O Grove - Pontevedra",Hotel,3 Estrellas,,info@hotelmardelnorte.es,Donde alojarse,"42º 28' 13.2"" N - 8º 54' 38.5"" W",mailto:info@hotelmardelnorte.es,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Alquiler equipos audiovisuales | Área de juegos para niños | Ascensor | Bar-Cafetería | Biblioteca | Calefacción central | Calefacción individual | Desayuno incluido en el precio | Garaje gratuito | Gimnasio | Hab. fumadores / no fumadores | Habitaciones familiares | Internet / wifi en zonas comunes | Jardín terraza | Lavandería | Parking de superficie | Parque infantil | Piscina | Piscina infantil | Restaurante | Sala de Reuniones | Salón de estar | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de fax | Servicio de habitaciones 24 h. | Teléfono en habitaciones | Tenis | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL MARDEVELA,https://www.turismo.gal/recurso/-/detalle/280382851/hotel-mardevela?langId=es_ES&tp=22&ctre=129,"Avenida de León , nº 48-50 36960 Sanxenxo - Pontevedra",Hotel,2 estrellas superior,+34 986 724 086,info@hotelmardevela.com,Donde alojarse,"42º 23' 58.6"" N - 8º 47' 47.3"" W",mailto:info@hotelmardevela.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Desayuno incluido en el precio | Lavandería | Minibar | Parking de superficie | Salón de estar | Secador pelo en habitaciones | Teléfono en habitaciones | TV en habitaciones,Desayuno Buffet,,,Ruta del Mar de Arousa y Ulla,,,,,,,,4B | Euro Card | Euro Cav | Master Card | Multibanco | Red 6000 | ServiRed | Visa,,,,,,
HOTEL MAROA,https://www.turismo.gal/recurso/-/detalle/147/hotel-maroa?langId=es_ES&tp=22&ctre=129,"Rúa Pablo Morillo, nº 6 36201 Vigo - Pontevedra",Hotel,4 Estrellas,,reservas@maroahotel.com,Donde alojarse,"42º 14' 23.9"" N - 8º 43' 18.7"" W",mailto:reservas@maroahotel.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler equipos audiovisuales | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Garaje de pago | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavandería | Minibar | Sala de Reuniones | Salón de estar | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Desayuno | Desayuno Buffet,,,Camino Portugués de la costa,,,,,,,,American Express | Master Card | Visa,,,,,,
HOTEL MAROLA,https://www.turismo.gal/recurso/-/detalle/118/hotel-marola?langId=es_ES&tp=22&ctre=129,"Playa de A Lanzada, nº 28 36990 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 743 244,reservas@hotelmarola.com,Donde alojarse,"42º 25' 38.9"" N - 8º 52' 16.0"" W",mailto:reservas@hotelmarola.com,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Calefacción central | Jardín terraza | Parking de superficie | Piscina | Teléfono en habitaciones | Tenis | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL MARUXIA,https://www.turismo.gal/recurso/-/detalle/10922/hotel-maruxia?langId=es_ES&tp=22&ctre=129,"Calle Luis Casais, nº 14 36980 O Grove - Pontevedra",Hotel,3 Estrellas,+34 986 732 798 / +34 986 732 795,info@hotelmaruxia.com,Donde alojarse,"42º 29' 38.3"" N - 8º 51' 42.1"" W",mailto:info@hotelmaruxia.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Antena parabólica | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Desayuno incluido en el precio | Garaje de pago | Hab. fumadores / no fumadores | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Lavandería | Minibar | Parking de superficie | Salón de estar | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Desayuno Buffet,,,Ruta del Mar de Arousa y Ulla,,Grado de Accesibilidad: Practicable | Documentos de accesibilidad (2018): | Descargue este documento,,,,,,Master Card | Red 6000 | ServiRed | Visa,,,,,,
HOTEL MARYCIELO,https://www.turismo.gal/recurso/-/detalle/11206/hotel-marycielo?langId=es_ES&tp=22&ctre=129,"Paseo Praia de Silgar, nº 26 36960 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 720 050,info@hotelesmarycielo.com,Donde alojarse,"42º 24' 04.3"" N - 8º 48' 33.8"" W",mailto:info@hotelesmarycielo.com,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Calefacción central | Golf | Teléfono en habitaciones | Tiendas | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,1998,,,,
HOTEL MINSO,https://www.turismo.gal/recurso/-/detalle/103/hotel-minso?langId=es_ES&tp=22&ctre=129,"Avenida DO PORTO, nº 1 36960 Sanxenxo - Pontevedra",Hotel,3 Estrellas,+34 986 720 150,info@hotelminso.com,Donde alojarse,"42º 23' 58.3"" N - 8º 48' 26.3"" W",mailto:info@hotelminso.com,Admite tarjetas de crédito | Aire acondicionado | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción central | Cambio de moneda | Desayuno incluido en el precio | Garaje de pago | Internet / wifi en zonas comunes | Secador pelo en habitaciones | Servicio de fax | Teléfono en habitaciones | Tiendas | TV en habitaciones | Vídeo / DVD en habitaciones,Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL MONDARIZ ADVENTURE,https://www.turismo.gal/recurso/-/detalle/170308000034/hotel-mondariz-adventure?langId=es_ES&tp=22&ctre=129,"Calle Cervantes, nº 11 36870 Mondariz - Pontevedra",Hotel,1 Estrella,,,Donde alojarse,"42º 13' 55.8"" N - 8º 27' 11.6"" W",,,,,,,,,,,,,,,,,,,,
HOTEL MONTEMAR,https://www.turismo.gal/recurso/-/detalle/2287/hotel-montemar?langId=es_ES&tp=22&ctre=129,"Avenida Teniente Domínguez, nº 6 36980 O Grove - Pontevedra",Hotel,3 estrellas superior,+34 986 730 735 / +34 986 730 759,info@hotelmontemar.net,Donde alojarse,"42º 29' 14.9"" N - 8º 51' 28.9"" W",mailto:info@hotelmontemar.net,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Antena parabólica | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Garaje de pago | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavandería | Minibar | Parking de superficie | Restaurante | Salón de estar | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno | Desayuno Buffet,,,Ruta del Mar de Arousa y Ulla,,,,,,,,4B | Euro Cav | Master Card | Multibanco | Red 6000 | ServiRed | Visa,,,,,,
HOTEL NAUTILUS,https://www.turismo.gal/recurso/-/detalle/2312/hotel-nautilus?langId=es_ES&tp=22&ctre=129,"Calle Ramón Encinas, nº 3 36992 Poio - Pontevedra",Hotel,2 Estrellas,+34 986 325 430,INFO@POZAYCACABELOS.COM,Donde alojarse,"42º 24' 11.2"" N - 8º 45' 20.4"" W",mailto:INFO@POZAYCACABELOS.COM,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Cambio de moneda | Garaje gratuito | Internet / wifi en zonas comunes | Sala de Reuniones | Secador pelo en habitaciones | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Comida o cena,,,,,,,,,,,,,,,,,
HOTEL NOVO MUIÑO,https://www.turismo.gal/recurso/-/detalle/75/hotel-novo-muino?langId=es_ES&tp=22&ctre=129,"Playa de Camposancos , nº sn 36788 A Guarda - Pontevedra",Hotel,2 Estrellas,,correo@hoteleselmolino.com,Donde alojarse,"41º 52' 30.6"" N - 8º 52' 11.7"" W",mailto:correo@hoteleselmolino.com,Admite tarjetas de crédito | Ascensor | Calefacción central | Calefacción individual | Internet / wifi en zonas comunes | Jardín terraza | Parking de superficie | Piscina | Teléfono en habitaciones | Tenis | TV en habitaciones,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
HOTEL NUEVO ASTUR,https://www.turismo.gal/recurso/-/detalle/104/hotel-nuevo-astur?langId=es_ES&tp=22&ctre=129,"Lugar Gondar, nº 45 36990 Sanxenxo - Pontevedra",Hotel,3 Estrellas,,INFO@NUEVOASTUR.COM,Donde alojarse,"42º 26' 17.1"" N - 8º 49' 38.4"" W",mailto:INFO@NUEVOASTUR.COM,Actividades de ocio/animación | Admite tarjetas de crédito | Aire acondicionado | Animación infantil | Antena parabólica | Área de juegos para niños | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Habitaciones familiares | Internet / wifi en zonas comunes | Jardín terraza | Paddle | Parking de superficie | Parque infantil | Piscina | Piscina infantil | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | Teléfono en habitaciones | Tenis | TV en habitaciones,Comida o cena | Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL NUEVO CACHALOTE,https://www.turismo.gal/recurso/-/detalle/116/hotel-nuevo-cachalote?langId=es_ES&tp=22&ctre=129,"Calle Arturo Fontán Bouzas, nº 56 36970 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34986723454,nuevocachalote@gmail.com,Donde alojarse,"42º 23' 38.1"" N - 8º 49' 29.1"" W",mailto:nuevocachalote@gmail.com,Admite tarjetas de crédito | Aire acondicionado | Ascensor | Bar-Cafetería | Calefacción central | Desayuno incluido en el precio | Garaje de pago | Golf | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Parking de superficie | Restaurante | Salón de belleza / Peluquería | Salón de estar | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | Servicio médico | Supermercado | Teléfono en habitaciones | Tiendas | TV en habitaciones,Comida o cena | Desayuno,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
HOTEL NUEVO MONTALVO,https://www.turismo.gal/recurso/-/detalle/21907/hotel-nuevo-montalvo?langId=es_ES&tp=22&ctre=129,"Lugar Montalvo, nº 7 36970 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 723 028,info@montalvoplaya.com,Donde alojarse,"42º 23' 51.2"" N - 8º 50' 40.5"" W",mailto:info@montalvoplaya.com,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Calefacción central | Calefacción individual | Jardín terraza | Secador pelo en habitaciones | Servicio de fax | TV en habitaciones,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,2003,,,,
