nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información
AS ALVARIZAS,https://www.turismo.gal/recurso/-/detalle/240802000046/as-alvarizas?langId=es_ES&tp=68&ctre=130,"Lg. O Lameiro, nº 5 36668 Moraña - Pontevedra",Apartamento,Apartamentos 1 Llave,,info@asalvarizas.com,"42º 35' 12.3"" N - 8º 34' 31.9"" W",mailto:info@asalvarizas.com,,,,Plazas totales calculadas: 4,,,,,,,,,,
AS AREAS,https://www.turismo.gal/recurso/-/detalle/160530000106/as-areas?langId=es_ES&tp=67&ctre=135,nº 59 36979 Sanxenxo - Pontevedra,Pensión,2 estrellas,+34 986 690 623,,"42º 24' 12.8"" N - 8º 50' 54.5"" W",https://www.pensionasareas.com/,,,,,,,,,,,,,,
AS BRASAS,https://www.turismo.gal/recurso/-/detalle/258826331/as-brasas?langId=es_ES&tp=67&ctre=135,nº 13 36760 O Rosal - Pontevedra,Pensión,1 estrella,+34 986 610 966,asbrasas@hotmail.com,"41º 55' 03.7"" N - 8º 48' 57.8"" W",mailto:asbrasas@hotmail.com,Calefacción central | Lavandería | Parking de superficie | TV en habitaciones,,,,,,,Teléfono,,,,,,
AS BREAS,https://www.turismo.gal/recurso/-/detalle/36988/as-breas?langId=es_ES&tp=22&ctre=129,"Lugar A Pedra Furada, nº 2 36457 Salvaterra de Miño - Pontevedra",Hotel,1 Estrella,+34 986 658 209,casadasbreas@yahoo.es,"42º 05' 13.0"" N - 8º 28' 26.6"" W",mailto:casadasbreas@yahoo.es,Bar-Cafetería | Calefacción individual | Garaje gratuito | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Parking de superficie | Teléfono en habitaciones | TV en habitaciones,,,,,,,,,,,,,
AS CASIÑAS,https://www.turismo.gal/recurso/-/detalle/190718000329/as-casinas?langId=es_ES&tp=68&ctre=130,"Lugar Longán, nº 102 36940 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,,info@ascasinascangas.com,"42º 16' 05.7"" N - 8º 46' 22.9"" W",mailto:info@ascasinascangas.com,,,,Plazas totales calculadas: 33,,,,,,,,,,
AS CHIVAS,https://www.turismo.gal/recurso/-/detalle/280376560/as-chivas?langId=es_ES&tp=71&ctre=134,nº 34 36810 Redondela - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 496 853,casarural@aschivas.com,"42º 19' 30.2"" N - 8º 35' 58.7"" W",mailto:casarural@aschivas.com,Aparcamiento | Comedor | Cunas | Instalaciones para niños | Internet - Wi-Fi | Jardín / Huerta | Salón | Tareas agropecuarias | Televisión común | Televisor en habitaciones,Cena | Comida | Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 6 | Número de plazas: 12,,,Grado de Accesibilidad: Practicable | Documentos de accesibilidad (2018): | Descargue este documento,,,,,,,,
AS LAGOAS,https://www.turismo.gal/recurso/-/detalle/190613000218/as-lagoas?langId=es_ES&tp=68&ctre=130,"Travesía Estrada de Pontevedra, nº 6 36989 O Grove - Pontevedra",Apartamento,Apartamentos 2 Llaves,+34 616 041 448,info@playaderons.com,"42º 28' 49.6"" N - 8º 51' 41.4"" W",mailto:info@playaderons.com,Agua caliente | Aparcamiento | Calefacción | Frigorífico | Jardín | Lavadora | Piscina | Plancha | Televisión | Terraza particular,,,,,,,,,,,,,
AS PIPAS,https://www.turismo.gal/recurso/-/detalle/33934/as-pipas?langId=es_ES&tp=67&ctre=135,"Moreiras, nº 23 36980 O Grove - Pontevedra",Pensión,2 estrellas,+34 986 732 515,,"42º 28' 52.2"" N - 8º 53' 31.4"" W",,Bar-Cafetería | Calefacción central | TV en habitaciones,,,,,,,,,,,,,
AS PONTES,https://www.turismo.gal/recurso/-/detalle/264282564/as-pontes?langId=es_ES&tp=67&ctre=135,nº 89 36860 Ponteareas - Pontevedra,Pensión,2 estrellas,+34 986 669 946,,"42º 09' 29.1"" N - 8º 30' 07.8"" W",,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Antena parabólica | Bar-Cafetería | Calefacción central | Calefacción individual | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Parking de superficie | Salón de convenciones | Se habla inglés | TV en habitaciones,Comida o cena | Desayuno,,,,,,Teléfono,,,,,,
AS SETE CAMPAS,https://www.turismo.gal/recurso/-/detalle/190619000328/as-sete-campas?langId=es_ES&tp=67&ctre=135,nº 29 36969 Meaño - Pontevedra,Pensión,3 estrellas,,reservas@assetecampas.com,"42º 26' 19.5"" N - 8º 46' 51.0"" W",mailto:reservas@assetecampas.com,,,,,,,,,,,,,,
ASUN,https://www.turismo.gal/recurso/-/detalle/268836408/asun?langId=es_ES&tp=67&ctre=135,"VIMBIEIRO, 7 - VINQUIÑO 36960 Sanxenxo - Pontevedra",Pensión,1 estrella,,,"42º 24' 31.3"" N - 8º 48' 42.4"" W",,Calefacción central | Calefacción individual | Jardín terraza | Parking de superficie | TV en habitaciones,,,,,,,Teléfono,,,,,,
ATALAYA I,https://www.turismo.gal/recurso/-/detalle/2322/atalaya-i?langId=es_ES&tp=22&ctre=129,"Travesía Arturo Fontán Bouzas, nº 86 36970 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 727 012,reservas@hotelesatalaya.com,"42º 23' 32.0"" N - 8º 49' 30.5"" W",mailto:reservas@hotelesatalaya.com,Admite tarjetas de crédito | Aire acondicionado | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción individual | Garaje de pago | Hab. fumadores / no fumadores | Parking de superficie | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Desayuno Buffet,,,,,,,,,,4B | Euro Card | Euro Cav | Master Card | Multibanco | Red 6000 | ServiRed | Visa,,
ATALAYA II,https://www.turismo.gal/recurso/-/detalle/11220/atalaya-ii?langId=es_ES&tp=22&ctre=129,"Calle Progreso, nº 91 36970 Sanxenxo - Pontevedra",Hotel,3 Estrellas,+34 986 727 982 / +34 986 727 012,info@hotelesatalaya.com,"42º 23' 30.4"" N - 8º 49' 28.2"" W",mailto:info@hotelesatalaya.com,Admite tarjetas de crédito | Aire acondicionado | Antena parabólica | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción individual | Garaje de pago | Hab. fumadores / no fumadores | Habitaciones familiares | Jardín terraza | Parking de superficie | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Desayuno | Desayuno Buffet,,,,,,,,,,Euro Card | Euro Cav | Master Card | Red 6000 | ServiRed | Visa,,
ATLÁNTICO,https://www.turismo.gal/recurso/-/detalle/31897/atlantico?langId=es_ES&tp=22&ctre=129,"Calle García Barbón , nº 35 36201 Vigo - Pontevedra",Hotel,2 Estrellas,+34 986 220 530,email@hotelatlanticovigo.com,"42º 14' 13.8"" N - 8º 43' 04.1"" W",mailto:email@hotelatlanticovigo.com,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Ascensor | Bar-Cafetería | Calefacción central | Calefacción individual | Garaje de pago | Hab. fumadores / no fumadores | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Sala de Reuniones | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,,,,,,,,,,
ATLÁNTICO,https://www.turismo.gal/recurso/-/detalle/32506/atlantico?langId=es_ES&tp=67&ctre=135,"R/ PADRE FERNANDO OLMEDO, 38 36002 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 861 551,info@hostalatlantico.es,"42º 25' 50.8"" N - 8º 38' 11.9"" W",mailto:info@hostalatlantico.es,Admite tarjetas de crédito | Bar-Cafetería | Calefacción central | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Restaurante | TV en habitaciones,,,,,,,,,,,,,
ATLÁNTICO APARTAMENTOS DE TURISMO,https://www.turismo.gal/recurso/-/detalle/37868/atlantico-apartamentos-de-turismo?langId=es_ES&tp=68&ctre=130,nº 20 36316 Gondomar - Pontevedra,Apartamento,Apartamentos 3 Llaves,+34 986 465 077,apartamentosatlantico@telefonica.net,"42º 09' 11.8"" N - 8º 42' 48.8"" W",mailto:apartamentosatlantico@telefonica.net,Agua caliente | Aparcamiento | Calefacción | Frigorífico | Internet | Jardín | Lavadora | Lavandería | Plancha | Recepción | Teléfono | Televisión | Terraza particular,,,,,,,,,,,,,
ATLANTICO PLAYA,https://www.turismo.gal/recurso/-/detalle/200522000134/atlantico-playa?langId=es_ES&tp=68&ctre=130,"Calle Montalvo, nº 66 36979 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 686 950 415,atlantico.playa.2020@gmail.com,"42º 24' 10.5"" N - 8º 51' 01.3"" W",mailto:atlantico.playa.2020@gmail.com,,,,Plazas totales calculadas: 43,,,,,,,,,,
AUGADOCE,https://www.turismo.gal/recurso/-/detalle/190503000016/augadoce?langId=es_ES&tp=67&ctre=135,"Calle Cristillón, nº 13 36388 Gondomar - Pontevedra",Pensión,1 estrella,,jorgedominguezlorenzo92@gmail.com,"42º 06' 11.7"" N - 8º 46' 24.7"" W",mailto:jorgedominguezlorenzo92@gmail.com,,,,,,,,,,,,,,
AUGUSTA ECO WELLNESS RESORT I,https://www.turismo.gal/recurso/-/detalle/29568/augusta-eco-wellness-resort-i?langId=es_ES&tp=22&ctre=129,"Lugar Padriñán, nº 25 36960 Sanxenxo - Pontevedra",Hotel,4 Estrellas,,reservas@augustasanxenxo.com,"42º 24' 18.9"" N - 8º 48' 21.9"" W",mailto:reservas@augustasanxenxo.com,Actividades de ocio/animación | Admite perros | Aire acondicionado | Alquiler de bicicletas | Animación infantil | Área de juegos para niños | Ascensor | Bar-Cafetería | Caja Fuerte individual | Desayuno incluido en el precio | Garaje de pago | Gimnasio | Guardería | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Jardín terraza | Lavandería | Minibar | Minigolf | Paddle | Parque infantil | Piscina | Piscina climatizada | Piscina infantil | Restaurante | Salón de belleza / Peluquería | Salón de estar | Sauna | Secador pelo en habitaciones | Servicio de canguro | Servicio de habitaciones 24 h. | Spa | Teléfono en habitaciones | TV en habitaciones,Cena | Comida | Comida o cena | Desayuno Buffet | Media pensión | Pensión alimenticia,,,,Grado de Accesibilidad: Adaptado | Documentos de accesibilidad (2018): | Descargue este documento,,Área de recepción | Azafatas | Fax | Fotocopiadora | Megafonía | Pantallas | Pasarela-desfile | Pizarra de papel | Podiums | Proyectores | Relaciones públicas | Tablones de anuncios | Vídeo,,,Nombre | Clase | Cóctel | Restaurante | Teatro | U | Sala Convenciones 90 120 60 | Sala Internet 15 20 9 | Sala Reuniones 40 200 150 50 30 | Sala Convenciones 90 60 40 120 60,Euro Card | Master Card | Red 6000,Acceso a personas con movilidad reducida | Admite perros | Admite tarjetas | Alojamiento | Cartas de vinos | Parking bicicletas | Parking coches | Piscina | Restaurante | Terraza jardín | Ubicación de interés | Zona Wifi,
AUGUSTA ECO WELLNESS RESORT II,https://www.turismo.gal/recurso/-/detalle/36418/augusta-eco-wellness-resort-ii?langId=es_ES&tp=22&ctre=129,"Lugar Padriñán, nº 25 36960 Sanxenxo - Pontevedra",Hotel,4 estrellas superior,,reservas@augustasanxenxo.com,"42º 24' 19.1"" N - 8º 48' 20.5"" W",mailto:reservas@augustasanxenxo.com,Actividades de ocio/animación | Admite perros | Admite tarjetas de crédito | Aire acondicionado | Alquiler de bicicletas | Animación infantil | Área de juegos para niños | Ascensor | Bar-Cafetería | Caja Fuerte individual | Desayuno incluido en el precio | Garaje de pago | Gimnasio | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Jardín terraza | Lavandería | Minibar | Minigolf | Paddle | Parque infantil | Piscina | Piscina climatizada | Piscina infantil | Restaurante | Salón de belleza / Peluquería | Salón de estar | Sauna | Secador pelo en habitaciones | Se habla inglés | Servicio de canguro | Servicio de habitaciones 24 h. | Spa | Teléfono en habitaciones | Traducción simultánea | TV en habitaciones,Cena | Comida | Comida o cena | Desayuno Buffet | Media pensión | Pensión alimenticia,,,,Grado de Accesibilidad: Practicable | Documentos de accesibilidad (2018): | Descargue este documento,,Acceso Internet | Área de recepción | Azafatas | Fax | Fotocopiadora | Grabación sonido | Guardarropa | Megafonía | Pantallas | Pizarra de papel | Podiums | Proyección de cine | Proyectores | Relaciones públicas | Salones divisibles | Servicio de seguridad | Servicio Postal | Tablones de anuncios | Vídeo,,,"Nombre | Superficie | Altura | Clase | Cóctel | Restaurante | Teatro | Gallaecia 264 2,6 70 220 160 110 | Remo 24 2,4 12 20 16 18 | Pontus Veteris 60 2,6 25 40 24 35",Euro Card | Master Card | Red 6000 | Visa,,
AUGUSTO EXPRES,https://www.turismo.gal/recurso/-/detalle/180612000241/augusto-expres?langId=es_ES&tp=68&ctre=130,"Calle Progreso, nº 26 36880 A Cañiza - Pontevedra",Apartamento,Apartamentos 1 Llave,,info@apartamentos-augusto.es,"42º 12' 49.9"" N - 8º 16' 39.4"" W",mailto:info@apartamentos-augusto.es,,,,Plazas totales calculadas: 62,,,,,,,,,,
AUTOCAMPER SANXENXO,https://www.turismo.gal/recurso/-/detalle/200122000226/autocamper-sanxenxo?langId=es_ES&tp=69&ctre=139,"CANELAS, nº SN 36970 Sanxenxo - Pontevedra",Camping,Camping de 2ª Categoria,886 035 466,info@autocampersanxenxo.com,"42º 23' 29.3"" N - 8º 50' 07.0"" W",mailto:info@autocampersanxenxo.com,Accesible autos | Accesible bus | Accesible motos | Admisión Animales de Compañía | Admite tarjetas de crédito | Alquiler de bicicletas | Arbolado | Bar / Cafetería | Corriente eléctrica | Duchas de agua caliente | Especial. recomend. para niños | Internet | Parque infantil | Pesca | Playa arenosa | Restaurante | Senderismo | Servicio médico | Submarinismo | Suelo de hierba | Supermercado | Teléfono | Vigilancia 24 h. | Wifi | Zonas verdes,,,,,,,,,,,,,
AVENIDA,https://www.turismo.gal/recurso/-/detalle/2272/avenida?langId=es_ES&tp=22&ctre=129,"Calle Eduardo Pondal, nº 46 36003 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 857 784,Reservas@avenidahotel.net,"42º 25' 33.6"" N - 8º 38' 15.7"" W",mailto:Reservas@avenidahotel.net,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción central | Garaje de pago | Hab. fumadores / no fumadores | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavandería | Parking de superficie | Restaurante | Sala de Reuniones | Salón de convenciones | Salón de estar | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de fax | Servicio de secretaría | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,,,,,,,,,,
AVENIDA,https://www.turismo.gal/recurso/-/detalle/280383414/avenida?langId=es_ES&tp=67&ctre=135,AVDA. DEL PUENTE 92 CABRAL 0 Vigo - Pontevedra,Pensión,1 estrella,+34 986 262 684,,"42º 12' 51.9"" N - 8º 40' 18.8"" W",,,,,,,,,,,,,,,
AVENIDA,https://www.turismo.gal/recurso/-/detalle/30837/avenida?langId=es_ES&tp=22&ctre=129,"Calle Julián Valverde, nº 41 36393 Baiona - Pontevedra",Hotel,1 Estrella,+34 986 354 728,hotelavenidabaiona@hotmail.com,"42º 06' 47.7"" N - 8º 49' 01.7"" W",mailto:hotelavenidabaiona@hotmail.com,Admite tarjetas de crédito | Calefacción central | Habitaciónes con salón-suites | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Parking de superficie | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,,,,,,,,,,,,,
AVENTURA RÍAS BAIXAS,https://www.turismo.gal/recurso/-/detalle/210806000184/aventura-rias-baixas?langId=es_ES&tp=69&ctre=139,"Lugar Atalaia, s/n (Viascón) 36121 Cerdedo-Cotobade - Pontevedra",Camping,2 estrellas,,info@xuncaxestion.es,,mailto:info@xuncaxestion.es,,,,,,,,,,,,,,
AVOA REGINA,https://www.turismo.gal/recurso/-/detalle/190917000094/avoa-regina?langId=es_ES&tp=1000100&ctre=1000120,"Calle PICOTA, nº 23 36800 Redondela - Pontevedra",Albergue Turístico,,+34 604 085 701,albergueaboaregina@gmail.com,"42º 17' 15.1"" N - 8º 36' 30.4"" W",mailto:albergueaboaregina@gmail.com,,,,,,,,,,,,,,
AXIS VIGO,https://www.turismo.gal/recurso/-/detalle/272507538/axis-vigo?langId=es_ES&tp=22&ctre=129,"María Berdiales , nº 22 36203 Vigo - Pontevedra",Hotel,4 Estrellas,+34 986 441 112,info@hotelaxisvigo.com,"42º 14' 03.5"" N - 8º 43' 07.7"" W",mailto:info@hotelaxisvigo.com,Aire acondicionado | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Minibar | Teléfono en habitaciones | TV en habitaciones,Cena | Comida | Desayuno | Desayuno Buffet,,,,,,,,,,4B | Master Card | Red 6000 | Visa,,
AY SÁLVORA,https://www.turismo.gal/recurso/-/detalle/280380738/ay-salvora?langId=es_ES&tp=68&ctre=130,"Arroxelo. Cons da Garda, nº 56 36988 O Grove - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 986 730 762,pineiromoda@hotmail.es,"42º 27' 59.7"" N - 8º 55' 46.8"" W",mailto:pineiromoda@hotmail.es,Aparcamiento | Jardín,,,Plazas totales calculadas: 16,,,,,,,,,,
AZUL,https://www.turismo.gal/recurso/-/detalle/2538/azul?langId=es_ES&tp=22&ctre=129,"Ramiranes , nº 38 36400 O Porriño - Pontevedra",Hotel,1 Estrella,+34 986 330 032,hotelazulporrino@gmail.com,"42º 09' 52.9"" N - 8º 37' 14.8"" W",mailto:hotelazulporrino@gmail.com,Admite tarjetas de crédito | Bar-Cafetería | Calefacción central | Hab. fumadores / no fumadores | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Secador pelo en habitaciones | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,,,,,,,,,,,,,
B&B HOTEL VIGO,https://www.turismo.gal/recurso/-/detalle/157/b-b-hotel-vigo?langId=es_ES&tp=22&ctre=129,"Calle Alfonso XIII , nº 11 36201 Vigo - Pontevedra",Hotel,3 Estrellas,+34 986 220 220,hotel.vigo@hotelbb.com,"42º 14' 07.2"" N - 8º 42' 55.2"" W",mailto:hotel.vigo@hotelbb.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler equipos audiovisuales | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Garaje de pago | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Sala de Reuniones | Salón de convenciones | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Desayuno Buffet,,,,,,Acceso Internet | Área de recepción | Fax | Fotocopiadora | Pantallas | Pizarra de papel | Podiums | Proyección de cine | Proyectores | Tablones de anuncios | Vídeo,,,Nombre | Clase | Cóctel | Restaurante | Teatro | U | Salvora 70 130 88 100 40 | Alfonso XIII 15 40 35 30 20 | Toraya 40 80 60 70 30,4B | Euro Card | Euro Cav | Master Card | Multibanco | Red 6000 | ServiRed | Visa,,
BAHÍA,https://www.turismo.gal/recurso/-/detalle/2290/bahia?langId=es_ES&tp=22&ctre=129,"Lugar Ardia, nº 32 36989 O Grove - Pontevedra",Hotel,2 Estrellas,+34 986 732 860,,"42º 28' 43.8"" N - 8º 51' 42.6"" W",mailto:info@hotelbahiaogrove.es,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Calefacción central | Desayuno incluido en el precio | Parking de superficie | Teléfono en habitaciones | TV en habitaciones,Desayuno,,,,,,,,,,Euro Card | Master Card | Visa,,
BAHÍA BAYONA,https://www.turismo.gal/recurso/-/detalle/4024/bahia-bayona?langId=es_ES&tp=22&ctre=129,"Avenida Santa Marta , nº 13 36308 Baiona - Pontevedra",Hotel,3 Estrellas,+34 986 385 004,info@hotelbahiabayona.com,"42º 06' 49.2"" N - 8º 50' 15.0"" W",mailto:info@hotelbahiabayona.com,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción individual | Garaje de pago | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Jardín terraza | Minibar | Parking de superficie | Sala de Reuniones | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,,,,,,,Fax | Fotocopiadora | Guardarropa | Megafonía | Pantallas | Pizarra de papel | Podiums | Proyectores | Salones divisibles | Servicio Postal | Tablones de anuncios | Vídeo,,,Nombre | Clase | Cóctel | Restaurante | Teatro | U | Pinzón 130 350 300 200 100 | Cíes 80 200 150 100 60 | Bayona 60 150 100 70 35,,,
BAHIA DE CHAPELA,https://www.turismo.gal/recurso/-/detalle/37735/bahia-de-chapela?langId=es_ES&tp=67&ctre=135,"Avenida Redondela, nº 14 36890 Redondela - Pontevedra",Pensión,2 estrellas,,info@bahiadechapela.com,"42º 16' 23.2"" N - 8º 39' 56.4"" W",mailto:info@bahiadechapela.com,Admite perros | Admite tarjetas de crédito | Antena parabólica | Bar-Cafetería | Calefacción individual | Garaje gratuito | Habitaciones familiares | Jardín terraza | Teléfono en habitaciones | TV en habitaciones,,,,,,,,,,,,,
BAHÍA DE SAN SIMÓN,https://www.turismo.gal/recurso/-/detalle/180518000257/bahia-de-san-simon?langId=es_ES&tp=67&ctre=135,"Calle Subida á Estación Vella, nº 35 36800 Redondela - Pontevedra",Pensión,2 estrellas,,bahiadesansimon@gmail.com,"42º 16' 58.2"" N - 8º 36' 46.5"" W",mailto:bahiadesansimon@gmail.com,,,,,,,,,,,,,,
BAHIA DE VIGO,https://www.turismo.gal/recurso/-/detalle/504/bahia-de-vigo?langId=es_ES&tp=68&ctre=130,"Avenida Canovas del Castillo, nº 24 36202 Vigo - Pontevedra",Apartamento,Apartamentos 3 Llaves,+34 986 226 700,reservas@hotelbahiadevigo.es,"42º 14' 24.4"" N - 8º 43' 32.7"" W",mailto:reservas@hotelbahiadevigo.es,Admite perros | Agua caliente | Ascensor | Bar / cafetería | Calefacción | Cambio de moneda | Equipo de música | Frigorífico | Garaje | Internet | Lavandería | Plancha | Recepción | Restaurante | Salón | Teléfono | Televisión,,,,,,,,,,,,,
BAHIA DE VIGO SA,https://www.turismo.gal/recurso/-/detalle/97/bahia-de-vigo-sa?langId=es_ES&tp=22&ctre=129,"Avenida Cánovas del Castillo , nº 24 36202 Vigo - Pontevedra",Hotel,4 Estrellas,+34 986 226 700,reservas@hotelbahiadevigo.es,"42º 14' 24.4"" N - 8º 43' 32.7"" W",mailto:reservas@hotelbahiadevigo.es,Admite tarjetas de crédito | Aire acondicionado | Alquiler equipos audiovisuales | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Garaje de pago | Hab. fumadores / no fumadores | Habitaciónes con salón-suites | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Minibar | Sala de Reuniones | Salón de convenciones | Secador pelo en habitaciones | Servicio de fax | Servicio médico | Teléfono en habitaciones | TV en habitaciones,Desayuno Buffet,,,,,,Acceso Internet | Salones divisibles | Tablones de anuncios,,,Nombre | Clase | Cóctel | Restaurante | Teatro | U | Bahía 2 100 100 100 150 | San Simón 40 60 60 60 | Rías Bajas 100 150 150 160 | Ría de Vigo 25 35 35 40 | Islas Cíes 80 120 120 125 40 | Bahía 1+2 300 350 350 450 25 | Bahía 1 100 100 100 150 60,4B | American Express | Dinners Club | Master Card | Red 6000 | ServiRed | Visa,,
BAIXA MAR,https://www.turismo.gal/recurso/-/detalle/2324/baixa-mar?langId=es_ES&tp=22&ctre=129,"Lugar Playa de Areas, nº s/n 36960 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 630 752 064,direccion.gestealoja@gmail.com,"42º 23' 42.3"" N - 8º 46' 29.8"" W",mailto:direccion.gestealoja@gmail.com,,,,,,,,,,,,,,
BALNEA BAIONA,https://www.turismo.gal/recurso/-/detalle/250122000211/balnea-baiona?langId=es_ES&tp=67&ctre=135,"Calle Laxe, nº 7 36300 Baiona - Pontevedra",Pensión,1 estrella,,INFO@EXPERIENCIABALNEA.COM,"42º 07' 08.8"" N - 8º 51' 01.5"" W",mailto:INFO@EXPERIENCIABALNEA.COM,,,,,,,,,,,,,,
BALNEARIO ACUÑA,https://www.turismo.gal/recurso/-/detalle/3070/balneario-acuna?langId=es_ES&tp=22&ctre=129,"Herrería, nº 2 36650 Caldas de Reis - Pontevedra",Hotel,2 Estrellas,+34 986 540 010,reservas@relaistermal.com,"42º 36' 09.6"" N - 8º 38' 33.5"" W",mailto:reservas@relaistermal.com,Actividades de ocio/animación | Admite tarjetas de crédito | Aire acondicionado | Alquiler de bicicletas | Ascensor | Biblioteca | Calefacción central | Edificio histórico | Habitaciónes con salón-suites | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Jardín terraza | Parking de superficie | Piscina | Piscina climatizada | Sala de Reuniones | Sauna | Secador pelo en habitaciones | Se habla inglés | Servicio de fax | Servicio médico | Spa | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,,,,,,,,,,
BALNEARIO DAVILA,https://www.turismo.gal/recurso/-/detalle/26373/balneario-davila?langId=es_ES&tp=22&ctre=129,"Calle Laureano Salgado , nº 11 36650 Caldas de Reis - Pontevedra",Hotel,2 Estrellas,+34 986 540 012,Iinfo@balneariodavila.com,"42º 36' 12.9"" N - 8º 38' 34.4"" W",mailto:Iinfo@balneariodavila.com,Actividades de ocio/animación | Admite tarjetas de crédito | Aire acondicionado | Ascensor | Bar-Cafetería | Calefacción central | Desayuno incluido en el precio | Edificio histórico | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Parking de superficie | Salón de estar | Se habla inglés | Servicio médico | TV en habitaciones,Cena | Comida | Desayuno | Pensión alimenticia,,,,,,,,,,,,
