nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad
"CRUCEIRO, O",https://www.turismo.gal/recurso/-/detalle/7842/cruceiro-o?langId=es_ES&tp=22&ctre=129,"Calle Juan Fuentes , nº 44 36650 Caldas de Reis - Pontevedra",Hotel,1 Estrella,+34 986 540 165 / +34 986 540 165,hotelcruceiro@yahoo.es,Donde alojarse,,,,,,,,,
CUCOS,https://www.turismo.gal/recurso/-/detalle/261021047/cucos?langId=es_ES&tp=22&ctre=129,"Calle Carlos Casas , nº 17 36960 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 986 720 164,,Donde alojarse,,,,,,,,,
DA VIONTA,https://www.turismo.gal/recurso/-/detalle/140/da-vionta?langId=es_ES&tp=22&ctre=129,"Calle Fontenla , nº 17 36994 Poio - Pontevedra",Hotel,2 Estrellas,+34 986 771 214,,Donde alojarse,,,,,,,,,
DABARCA,https://www.turismo.gal/recurso/-/detalle/36080/dabarca?langId=es_ES&tp=22&ctre=129,"Calle Palamios , nº 6 36001 Pontevedra - Pontevedra",Hotel,3 Estrellas,+34 986 869 723,info@hoteldabarca.com,Donde alojarse,,,,,,,,,
DAMASDO 6,https://www.turismo.gal/recurso/-/detalle/250606000099/damasdo-6?langId=es_ES&tp=68,"Calle Alfolíes, nº 5 36208 Vigo - Pontevedra",Apartamentos,Apartamentos 1 Llave,,damasdovigo@gmail.com,Donde alojarse,,,,,,,,,
DERBY,https://www.turismo.gal/recurso/-/detalle/258764743/derby?langId=es_ES&tp=67&ctre=135,"Calle Alcalde Rey Daviña , nº 31 36600 Vilagarcía de Arousa - Pontevedra",Pensión,1 estrella,+34 986 512 774,info@altefrankfurt.es,Donde alojarse,,,,,,,,,
DEVESA'S,https://www.turismo.gal/recurso/-/detalle/36071/devesa-s?langId=es_ES&tp=67&ctre=135,"Calle Ardia, nº 25 36980 O Grove - Pontevedra",Pensión,2 estrellas,+34 986 731 458,chankeleta10@yahoo.es,Donde alojarse,,,,,,,,,
DINAJAN,https://www.turismo.gal/recurso/-/detalle/2585/dinajan?langId=es_ES&tp=22&ctre=129,"Playa Lugar O Terrón, nº 39 36620 Vilanova de Arousa - Pontevedra",Hotel,2 Estrellas,+34 986 554 918,,Donde alojarse,,,,,,,,,
DOADE,https://www.turismo.gal/recurso/-/detalle/36199/doade?langId=es_ES&tp=22&ctre=129,"Lg. Baixada Praia Arneles, nº 1 36948 Cangas - Pontevedra",Hotel,1 Estrella,+34 986 328 302,info@hoteldoade.com,Donde alojarse,,,,,,,,,
DOMÍNGUEZ,https://www.turismo.gal/recurso/-/detalle/28959/dominguez?langId=es_ES&tp=22&ctre=129,"Calle Luis Casais, nº 6 36980 O Grove - Pontevedra",Hotel,2 Estrellas,+34 986 730 285,,Donde alojarse,,,,,,,,,
DON BENITO,https://www.turismo.gal/recurso/-/detalle/260630571/don-benito?langId=es_ES&tp=71&ctre=134,nº 4 36599 Vila de Cruces - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 582 682 / +34 981 580 266,info@campingascancelas.com,Donde alojarse,,,,,,,,,
DON DIN,https://www.turismo.gal/recurso/-/detalle/11511/don-din?langId=es_ES&tp=71&ctre=134,"Calle Manuel Iglesias, nº 19 36590 Vila de Cruces - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 592 608,info@casadondin.com,Donde alojarse,,,,,,,,,
DON MEXILÓN,https://www.turismo.gal/recurso/-/detalle/11222/don-mexilon?langId=es_ES&tp=22&ctre=129,"Lugar Reboredo, nº 71 36989 O Grove - Pontevedra",Hotel,3 Estrellas,,donmexilon@hotmail.com,Donde alojarse,,,,,,,,,
DON PEPE,https://www.turismo.gal/recurso/-/detalle/2524/don-pepe?langId=es_ES&tp=22&ctre=129,"Avenida A Barca, nº 24 36005 Poio - Pontevedra",Hotel,2 Estrellas,+34 986 872 260,info@hotel-donpepe.com,Donde alojarse,,,,,,,,,
DOÑA URRACA,https://www.turismo.gal/recurso/-/detalle/h-po-001927/dona-urraca?langId=es_ES&tp=1000100&ctre=1000120,"Campo da Torre, nº 1 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,+34 669 822 529,caldasrestauracion@gmail.com,Donde alojarse,,,,,,,,,
DORMIDEIRA,https://www.turismo.gal/recurso/-/detalle/250704000115/dormideira?langId=es_ES&tp=68,"Lugar Os Campos, nº s/n 36988 O Grove - Pontevedra",Apartamentos,Apartamentos 3 Llaves,,,Donde alojarse,,,,,,,,,
DPASO URBAN GUEST,https://www.turismo.gal/recurso/-/detalle/240315000291/dpaso-urban-guest?langId=es_ES&tp=67&ctre=135,"Calle Gorgullón, nº 27 36003 Pontevedra - Pontevedra",Pensión,1 estrella,,reservas@dpasohostel.es,Donde alojarse,,,,,,,,,
DPASO URBAN HOSTEL,https://www.turismo.gal/recurso/-/detalle/200512000034/dpaso-urban-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Gorgullón, nº 16 36003 Pontevedra - Pontevedra",Albergue Turístico,,+34 653 548 059,gestion@dpasohostel.es,Donde alojarse,,,,,,,,,
DUARTE,https://www.turismo.gal/recurso/-/detalle/30324/duarte?langId=es_ES&tp=22&ctre=129,"Calle Lameiriñas , nº 8 36690 Soutomaior - Pontevedra",Hotel,2 Estrellas,+34 986 670 057,isaac_duarte@hotmail.com,Donde alojarse,,,,,,,,,
DUERMING O CASAL DA MARTIÑA,https://www.turismo.gal/recurso/-/detalle/190722000355/duerming-o-casal-da-martina?langId=es_ES&tp=68&ctre=130,"Camiño Real Do Casal, nº 20 36994 Poio - Pontevedra",Apartamento,Apartamentos 2 Llaves,986866177 - 619288419,emiliano.ocasal@gmail.com,Donde alojarse,,,,,,,,,
DUERMING VELERO,https://www.turismo.gal/recurso/-/detalle/33678/duerming-velero?langId=es_ES&tp=68&ctre=130,"Lugar Arra, nº 12B 36970 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 604 075 021,info@inmobiliariasalnes.com,Donde alojarse,,,,,,,,,
DUKES HABITACIONES,https://www.turismo.gal/recurso/-/detalle/240813000225/dukes-habitaciones?langId=es_ES&tp=67&ctre=135,"Lugar Aios, nº 157 36990 Sanxenxo - Pontevedra",Pensión,2 estrellas,,,Donde alojarse,,,,,,,,,
DUNA,https://www.turismo.gal/recurso/-/detalle/2328/duna?langId=es_ES&tp=22&ctre=129,Playa Canelas 36970 Sanxenxo - Pontevedra,Hotel,2 Estrellas,+34 986 691 411,info@hotelduna.com,Donde alojarse,,,,,,,,,
DUNAS DE SAMIL,https://www.turismo.gal/recurso/-/detalle/200727000622/dunas-de-samil?langId=es_ES&tp=68&ctre=130,"Calle Dunas de Samil, nº 1 36212 Vigo - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 886 909 980,info@dunasdesamil.com,Donde alojarse,,,,,,,,,
DUPLEX PLAYA DE RONS,https://www.turismo.gal/recurso/-/detalle/280378548/duplex-playa-de-rons?langId=es_ES&tp=68&ctre=130,"Barrio de Rons , nº 5 36980 O Grove - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 616 041 448,info@playaderons.com,Donde alojarse,,,,,,,,,
DUPLEX PLAYA MAJOR,https://www.turismo.gal/recurso/-/detalle/220215000184/duplex-playa-major?langId=es_ES&tp=68&ctre=130,"Lugar Major, nº 101 36990 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,697 49 07 29,info@apartamentosplayamajor.com,Donde alojarse,,,,,,,,,
ECO CÁMPING ONS,https://www.turismo.gal/recurso/-/detalle/160520000068/eco-camping-ons?langId=es_ES&tp=69&ctre=139,Chan da pólvora 36930 Bueu - Pontevedra,Camping,Camping de 2ª Categoria,+34 986 433 530,CAMPINGONS@VIOVIAJES.COM,Donde alojarse,,,,,,,,,
ECO HOTEL NOS,https://www.turismo.gal/recurso/-/detalle/34721/eco-hotel-nos?langId=es_ES&tp=22&ctre=129,"Riocalvo, nº 2 36546 Silleda - Pontevedra",Hotel,1 Estrella,+34 986 581 595,info@noshotel.com,Donde alojarse,,,,,,,,,
EDÉN,https://www.turismo.gal/recurso/-/detalle/32232/eden?langId=es_ES&tp=67&ctre=135,"Lugar Fonte de Ons, nº 8 36990 Sanxenxo - Pontevedra",Pensión,2 estrellas,+34 986 743 140,,Donde alojarse,,,,,,,,,
EIDO DE ABAIXO,https://www.turismo.gal/recurso/-/detalle/16152/eido-de-abaixo?langId=es_ES&tp=71&ctre=134,nº 5 36866 Ponteareas - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 641 652,eidodeabaixo@gmail.com,Donde alojarse,,,,,,,,,
EIDOS DA LAXE,https://www.turismo.gal/recurso/-/detalle/181026000258/eidos-da-laxe?langId=es_ES&tp=68&ctre=130,"Aldea Eidos da Baixo, nº 44 36430 Arbo - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 661 841 646,ochideiro@hotmail.com,Donde alojarse,,,,,,,,,
EIRA GRANDE,https://www.turismo.gal/recurso/-/detalle/180327000400/eira-grande?langId=es_ES&tp=71&ctre=134,nº 136 36139 Cerdedo-Cotobade - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,galiciavillas@gmail.com,Donde alojarse,,,,,,,,,
EIRADOS,https://www.turismo.gal/recurso/-/detalle/280379765/eirados?langId=es_ES&tp=1000180&ctre=1000220,"Barrio As Casás, nº s/n 36829 Ponte Caldelas - Pontevedra",Vivienda Turística,,4,,Donde alojarse,,,,,,,,,
EL ABUELO DE ARCOS,https://www.turismo.gal/recurso/-/detalle/200722000517/el-abuelo-de-arcos?langId=es_ES&tp=71&ctre=134,nº 28 36637 Meis - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,hola@elabuelodearcos.com,Donde alojarse,,,,,,,,,
EL ÁGUILA,https://www.turismo.gal/recurso/-/detalle/2571/el-aguila?langId=es_ES&tp=22&ctre=129,"Calle Victoria , nº 6 36201 Vigo - Pontevedra",Hotel,1 Estrella,+34 986 431 398,recepcion@hotelaguila.com,Donde alojarse,,,,,,,,,
EL CAPITAN,https://www.turismo.gal/recurso/-/detalle/258758945/el-capitan?langId=es_ES&tp=67&ctre=135,"Bajada Praia de Menduíña , nº 77 36946 Cangas - Pontevedra",Pensión,1 estrella,+34 986 329 516,info@restaurantecapitan.es,Donde alojarse,,,,,,,,,
EL EDÉN,https://www.turismo.gal/recurso/-/detalle/28542/el-eden?langId=es_ES&tp=69&ctre=139,"CON CERRADO, S/N 0 A Illa de Arousa - Pontevedra",Camping,Camping de 2ª Categoria,+34 986 551 520,,Donde alojarse,,,,,,,,,
EL GRAN ALBERGUE SILLEDA,https://www.turismo.gal/recurso/-/detalle/280379912/el-gran-albergue-silleda?langId=es_ES&tp=1000100&ctre=1000120,"Calle Antón Alonso Ríos, nº 18 36540 Silleda - Pontevedra",Albergue Turístico,,+34 986 580 156,,Donde alojarse,,,,,,,,,
EL MOSQUITO,https://www.turismo.gal/recurso/-/detalle/150818000042/el-mosquito?langId=es_ES&tp=67&ctre=135,"Calle Ventura Misa, nº 58 36300 Baiona - Pontevedra",Pensión,2 estrellas,+34 675 569 986,pensionelmosquito@gmail.com,Donde alojarse,,,,,,,,,
EL PUENTE,https://www.turismo.gal/recurso/-/detalle/2546/el-puente?langId=es_ES&tp=22&ctre=129,"Avenida León , nº 10 36960 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 720 373,info@hotelelpuente.es,Donde alojarse,,,,,,,,,
EL RETIRO,https://www.turismo.gal/recurso/-/detalle/37740/el-retiro?langId=es_ES&tp=67&ctre=135,"Calle Telleiro, nº 10 36650 Nigrán - Pontevedra",Pensión,2 estrellas,,elretironigran@gmail.com,Donde alojarse,,,,,,,,,
EL TERRÓN,https://www.turismo.gal/recurso/-/detalle/448/el-terron?langId=es_ES&tp=69&ctre=139,Praia do Terrón 36629 Vilanova de Arousa - Pontevedra,Camping,Camping de 2ª Categoria,+34 986 554 394,info@campingelterron.com,Donde alojarse,,,,,,,,,
EL TRÉBOL,https://www.turismo.gal/recurso/-/detalle/32020/el-trebol?langId=es_ES&tp=22&ctre=129,36700 Tui - Pontevedra,Hotel,2 Estrellas,+34 986 607 087 / +34 986 607 087,,Donde alojarse,,,,,,,,,
EL VIEJO GALEÓN,https://www.turismo.gal/recurso/-/detalle/29154/el-viejo-galeon?langId=es_ES&tp=67&ctre=135,As Areas 36393 Baiona - Pontevedra,Pensión,2 estrellas,+34 986 350 207,,Donde alojarse,,,,,,,,,
ELIMAR,https://www.turismo.gal/recurso/-/detalle/2517/elimar?langId=es_ES&tp=22&ctre=129,"Calle Vicente Sobrino , nº 12 36780 A Guarda - Pontevedra",Hotel,2 Estrellas,+34 986 613 000,info@eli-marhotel.com,Donde alojarse,,,,,,,,,
ENOTURISMO LAGAR DE COSTA,https://www.turismo.gal/recurso/-/detalle/280259863/enoturismo-lagar-de-costa?langId=es_ES&tp=71&ctre=134,"Lugar Sartaxes, nº 8 36639 Cambados - Pontevedra",Turismo rural,Grupo-C (Casa de Labranza),+34 669 086 569,,Donde alojarse,,,,,,,,,
ENTREROBLES,https://www.turismo.gal/recurso/-/detalle/36860/entrerobles?langId=es_ES&tp=22&ctre=129,"Dtor. Benito Fariñas, nº 50 36393 Baiona - Pontevedra",Hotel,2 Estrellas,+34 986 386 984 / +34 986 386 984,,Donde alojarse,,,,,,,,,
ENXEBRE,https://www.turismo.gal/recurso/-/detalle/h-po-001926/enxebre?langId=es_ES&tp=67&ctre=135,"A BARCA, 4 36639 Cambados - Pontevedra",Pensión,1 estrella,,,Donde alojarse,,,,,,,,,
ESCRIBANA DE TORGO,https://www.turismo.gal/recurso/-/detalle/35897/escribana-de-torgo?langId=es_ES&tp=71&ctre=134,nº 3 36887 A Cañiza - Pontevedra,Turismo rural,Grupo-A (Casa Grande),,casarural@escribanadetorgo.com,Donde alojarse,,,,,,,,,
ESPERANZA DEL MAR,https://www.turismo.gal/recurso/-/detalle/280379892/esperanza-del-mar?langId=es_ES&tp=67&ctre=135,"Lugar Río, nº 30 36970 Sanxenxo - Pontevedra",Pensión,1 estrella,+34 986 690 425,info@esperanzadelmar.com,Donde alojarse,,,,,,,,,
ESPERANZA DEL MAR,https://www.turismo.gal/recurso/-/detalle/36130/esperanza-del-mar?langId=es_ES&tp=68&ctre=130,"ESTRADA ADINA, 32 - PORTONOVO 0 Sanxenxo - Pontevedra",Apartamento,Apartamentos 3 Llaves,+34 986 690 183 / +34 986 690 425,info@esperanzadelmar.com,Donde alojarse,,,,,,,,,
ESTELA DO MAR,https://www.turismo.gal/recurso/-/detalle/180625000502/estela-do-mar?langId=es_ES&tp=1000100&ctre=1000120,"ESTELA DO MAR, nº 15 36300 Baiona - Pontevedra",Albergue Turístico,,+34 604 034 227,info@esteladomar.com,Donde alojarse,,,,,,,,,
ESTELLA MARIS,https://www.turismo.gal/recurso/-/detalle/2526/estella-maris?langId=es_ES&tp=22&ctre=129,"Avenida Chancelas , nº 7 36993 Poio - Pontevedra",Hotel,1 Estrella,+34 986 770 366,info@hotel-stellamaris.com,Donde alojarse,,,,,,,,,
ESTÉVEZ,https://www.turismo.gal/recurso/-/detalle/37742/estevez?langId=es_ES&tp=67&ctre=135,"LG. PUXEIROS-ESTDA. AEROPUERTO, S/N 36416 Mos - Pontevedra",Pensión,3 estrellas,+34 986 487 370,info@pensionestevezdolia.com,Donde alojarse,,,,,,,,,
"ESTRADENSE, LA",https://www.turismo.gal/recurso/-/detalle/38026/estradense-la?langId=es_ES&tp=67&ctre=135,"Alfonso XIII, nº 46 36201 Vigo - Pontevedra",Pensión,2 estrellas,+34 986 431 512,,Donde alojarse,,,,,,,,,
ESTRELLA DEL MAR,https://www.turismo.gal/recurso/-/detalle/32615/estrella-del-mar?langId=es_ES&tp=22&ctre=129,"Foxos , nº 6 36990 Sanxenxo - Pontevedra",Hotel,2 Estrellas,,info@hotelestrelladelmar.es,Donde alojarse,,,,,,,,,
ESTRELLA DO CAMIÑO,https://www.turismo.gal/recurso/-/detalle/190404000052/estrella-do-camino?langId=es_ES&tp=67&ctre=135,"Avenida San Roque, nº 6 36650 Caldas de Reis - Pontevedra",Pensión,1 estrella,,,Donde alojarse,,,,,,,,,
ESTUDIOS DELFIN,https://www.turismo.gal/recurso/-/detalle/180628000566/estudios-delfin?langId=es_ES&tp=68&ctre=130,"Calle Caixa de Aforros Municipal de Vigo, nº 2 36300 Baiona - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 629 466 130,evanajera@yahoo.es,Donde alojarse,,,,,,,,,
EUROPA,https://www.turismo.gal/recurso/-/detalle/2511/europa?langId=es_ES&tp=22&ctre=129,"Calle Ourense , nº 12 36630 Cambados - Pontevedra",Hotel,1 Estrella,,hotel.europa.cambados@hotmail.com,Donde alojarse,,,,,,,,,
EUROSTARS GRAN HOTEL LA TOJA,https://www.turismo.gal/recurso/-/detalle/3074/eurostars-gran-hotel-la-toja?langId=es_ES&tp=22&ctre=129,"Calle Condesa, nº 2 36991 O Grove - Pontevedra",Hotel,5 Estrellas,+34 986 730 025,reservas@eurostarsgranhotellatoja.com,Donde alojarse,,,,,,,,,
EUROSTARS LOUXO TALASO,https://www.turismo.gal/recurso/-/detalle/29424/eurostars-louxo-talaso-?langId=es_ES&tp=22&ctre=129,"Calle Cortegada, nº 4 36991 O Grove - Pontevedra",Hotel,4 Estrellas,+34 986 730 200,reservas@louxolatoja.com,Donde alojarse,,,,,,,,,
EUROSTARS MAR DE VIGO,https://www.turismo.gal/recurso/-/detalle/277294957/eurostars-mar-de-vigo?langId=es_ES&tp=22&ctre=129,"Avenida Beiramar , nº 57-59 36202 Vigo - Pontevedra",Hotel,4 Estrellas,+34 986 213 003 / +34 986 213 003,info@eurostarsmardevigo.com,Donde alojarse,,,,,,,,,
EXE VIGO,https://www.turismo.gal/recurso/-/detalle/211227000199/exe-vigo?langId=es_ES&tp=22&ctre=129,"Calle Urzáiz, nº 76 36204 Vigo - Pontevedra",Hotel,3 Estrellas,+34 886 113 262,,Donde alojarse,,,,,,,,,
EXPO,https://www.turismo.gal/recurso/-/detalle/170913000280/expo?langId=es_ES&tp=67&ctre=135,"Igrexa, nº 50 36412 O Porriño - Pontevedra",Pensión,2 estrellas,,,Donde alojarse,,,,,,,,,
FARO SALAZÓN,https://www.turismo.gal/recurso/-/detalle/126/faro-salazon?langId=es_ES&tp=22&ctre=129,"Calle Sol , nº 6 36960 Sanxenxo - Pontevedra",Hotel,3 Estrellas,+34 986 723 399,reservas@hotelfarosalazon.com,Donde alojarse,,,,,,,,,
FARO SILLEIRO BOUTIQUE HOTEL,https://www.turismo.gal/recurso/-/detalle/250411000384/faro-silleiro-boutique-hotel?langId=es_ES&tp=22,Carretera Cabo Silleiro 36309 Baiona - Pontevedra,Hoteles,2 Estrellas,,info@farosilleirohotel.com,Donde alojarse,,,,,,,,,
FARSUND,https://www.turismo.gal/recurso/-/detalle/2548/farsund?langId=es_ES&tp=22&ctre=129,"Praia de Areas, nº 54 36960 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 986 729 000 / +34 986 741 215,hotelfarsund@terra.es,Donde alojarse,,,,,,,,,
FERCOMAR,https://www.turismo.gal/recurso/-/detalle/269982581/fercomar?langId=es_ES&tp=67&ctre=135,"TELLEIRO-NOALLA, 31 36990 Sanxenxo - Pontevedra",Pensión,2 estrellas,+34 986 744 161,,Donde alojarse,,,,,,,,,
FERNANDEZ,https://www.turismo.gal/recurso/-/detalle/32158/fernandez?langId=es_ES&tp=22&ctre=129,"Lugar Vinquiño , nº 19 36960 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 986 690 575,rcl.admon@gmail.com,Donde alojarse,,,,,,,,,
FINCA BRIABÍ,https://www.turismo.gal/recurso/-/detalle/181015000137/finca-briabi?langId=es_ES&tp=71&ctre=134,"Estrada nacional 120, nº 15 36880 A Cañiza - Pontevedra",Turismo rural,Grupo-C (Casa de Labranza),,info@fincabriabi.com,Donde alojarse,,,,,,,,,
FINCA MANGÜEIRO,https://www.turismo.gal/recurso/-/detalle/280380123/finca-mangu-eiro?langId=es_ES&tp=1000180&ctre=1000220,"Calle Mangüeiro, nº 2 0 Vilaboa - Pontevedra",Vivienda Turística,,,info@fmrural.com,Donde alojarse,,,,,,,,,
FLORIDA,https://www.turismo.gal/recurso/-/detalle/2329/florida?langId=es_ES&tp=22&ctre=129,nº 28 36960 Sanxenxo - Pontevedra,Hotel,1 Estrella,,info@hotelfloridalanzada.es,Donde alojarse,,,,,,,,,
FLORIDA,https://www.turismo.gal/recurso/-/detalle/38022/florida?langId=es_ES&tp=67&ctre=135,"R/ GARCÍA CAMBA, 11 36001 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 851 979,,Donde alojarse,,,,,,,,,
FLORIDA-MAR,https://www.turismo.gal/recurso/-/detalle/2331/florida-mar?langId=es_ES&tp=22&ctre=129,"Calle Emilia Pardo Bazán , nº 3 36960 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 724 340 / +34 986 691 580,info@hotelfloridamar.es,Donde alojarse,,,,,,,,,
FOGAR DE BREOGAN,https://www.turismo.gal/recurso/-/detalle/274930868/fogar-de-breogan?langId=es_ES&tp=67&ctre=135,"SEIXO, 1 36500 Lalín - Pontevedra",Pensión,3 estrellas,,,Donde alojarse,,,,,,,,,
FOLLAS NOVAS,https://www.turismo.gal/recurso/-/detalle/240508000170/follas-novas?langId=es_ES&tp=67&ctre=135,"Calle de Abaixo, nº 139 36760 O Rosal - Pontevedra",Pensión,1 estrella,,,Donde alojarse,,,,,,,,,
FONTE DO MUIÑO,https://www.turismo.gal/recurso/-/detalle/160915000029/fonte-do-muino?langId=es_ES&tp=1000180&ctre=1000220,"Calle Camiño, nº 1 36005 Poio - Pontevedra",Vivienda Turística,,,chandevila@yahoo.es,Donde alojarse,,,,,,,,,
FONTECLARA,https://www.turismo.gal/recurso/-/detalle/2159/fonteclara?langId=es_ES&tp=71&ctre=134,"SANTA MARIÑA DE RIBEIRA, nº 6 36680 A Estrada - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 573 209,info@fonteclara.com,Donde alojarse,,,,,,,,,
FORXÁN,https://www.turismo.gal/recurso/-/detalle/230615000464/forxan?langId=es_ES&tp=68&ctre=130,nº 62 36979 Sanxenxo - Pontevedra,Apartamento,Apartamentos 1 Llave,+34 623 992 666,info@apartamentosforxan.com,Donde alojarse,,,,,,,,,
FRANCÓN,https://www.turismo.gal/recurso/-/detalle/6606/francon?langId=es_ES&tp=69&ctre=139,LG. FRANCÓN-ALDÁN 36945 Cangas - Pontevedra,Camping,Camping de 2ª Categoria,+34 986 328 292,,Donde alojarse,,,,,,,,,
FRANKFURT,https://www.turismo.gal/recurso/-/detalle/33302/frankfurt?langId=es_ES&tp=22&ctre=129,"Avenida de Cambados , nº 97 36620 Vilanova de Arousa - Pontevedra",Hotel,1 Estrella,+34 986 555 001 / +34 986 554 165,info@altefrankfurt.es,Donde alojarse,,,,,,,,,
GAIVOTA,https://www.turismo.gal/recurso/-/detalle/9669/gaivota?langId=es_ES&tp=22&ctre=129,nº 32 36960 Sanxenxo - Pontevedra,Hotel,1 Estrella,+34 986 723 942,info@hotelgaivota.es,Donde alojarse,,,,,,,,,
GALAICO,https://www.turismo.gal/recurso/-/detalle/129/galaico?langId=es_ES&tp=22&ctre=129,"Vimbieiro , nº 32 36960 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 720 708,informacion@galaicohotel.com,Donde alojarse,,,,,,,,,
GALICIA,https://www.turismo.gal/recurso/-/detalle/28375/galicia?langId=es_ES&tp=71&ctre=134,36556 Forcarei - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 754 073,galiciavisit@yahoo.es,Donde alojarse,,,,,,,,,
GALICIA,https://www.turismo.gal/recurso/-/detalle/72/galicia?langId=es_ES&tp=22&ctre=129,"Camino Zapateiro , nº 26 36995 Poio - Pontevedra",Hotel,2 Estrellas,+34 986 771 011,reservas@hotel-galicia.es,Donde alojarse,,,,,,,,,
GALICIA PALACE,https://www.turismo.gal/recurso/-/detalle/88/galicia-palace?langId=es_ES&tp=22&ctre=129,"Avenida de Vigo , nº 3 36003 Pontevedra - Pontevedra",Hotel,4 Estrellas,+34 986 864 411,reservas@galiciapalace.com,Donde alojarse,,,,,,,,,
GAVIA,https://www.turismo.gal/recurso/-/detalle/33648/gavia?langId=es_ES&tp=22&ctre=129,"Avenida Teniente Domínguez, nº 41 36980 O Grove - Pontevedra",Hotel,1 Estrella,+34 986 733 425,,Donde alojarse,,,,,,,,,
GBC CALDAS HOSTEL,https://www.turismo.gal/recurso/-/detalle/210726000417/gbc-caldas-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Silgadas, nº 16 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,,caldas@gbchostel.com,Donde alojarse,,,,,,,,,
GBC HOSTEL,https://www.turismo.gal/recurso/-/detalle/200630000521/gbc-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle do Gorgullón, nº 72 36003 Pontevedra - Pontevedra",Albergue Turístico,,,,Donde alojarse,,,,,,,,,
GENEVE,https://www.turismo.gal/recurso/-/detalle/35974/geneve?langId=es_ES&tp=67&ctre=135,"José Mato, nº 12 36210 Vigo - Pontevedra",Pensión,2 estrellas,+34 986 211 311,,Donde alojarse,,,,,,,,,
GLAMPING DO MAR,https://www.turismo.gal/recurso/-/detalle/220919000307/glamping-do-mar?langId=es_ES&tp=69&ctre=139,"Camino de Cela, nº sn 36309 Baiona - Pontevedra",Camping,1 estrella,,glampingdomar@gmail.com,Donde alojarse,,,,,,,,,
GLAMPING ILLA DE AROUSA,https://www.turismo.gal/recurso/-/detalle/210115000079/glamping-illa-de-arousa?langId=es_ES&tp=69&ctre=139,"Lugar de Quilma, nº s/n 36626 A Illa de Arousa - Pontevedra",Camping,Camping de 2ª Categoria,,reservas@arousaglamping.com,Donde alojarse,,,,,,,,,
GLASGOW,https://www.turismo.gal/recurso/-/detalle/11021/glasgow?langId=es_ES&tp=22&ctre=129,"Lugar O Serrallo, nº 9 36309 Oia - Pontevedra",Hotel,3 Estrellas,+34 986 361 552,,Donde alojarse,,,,,,,,,
GODAY,https://www.turismo.gal/recurso/-/detalle/2514/goday?langId=es_ES&tp=22&ctre=129,"Avenida Teniente Domínguez , nº 24 36980 O Grove - Pontevedra",Hotel,1 Estrella,+34 986 730 437 / +34 986 731 191,hotel-goday@hotelgoday.com,Donde alojarse,,,,,,,,,
GRAN HOTEL NAGARI BOUTIQUE & SPA,https://www.turismo.gal/recurso/-/detalle/272921903/gran-hotel-nagari-boutique-spa?langId=es_ES&tp=22&ctre=129,"Plaza Compostela, nº 21 36201 Vigo - Pontevedra",Hotel,5 Estrellas,+34 986 211 111,hotel@granhotelnagari.com,Donde alojarse,,,,,,,,,
GRAN PROA,https://www.turismo.gal/recurso/-/detalle/2310/gran-proa?langId=es_ES&tp=22&ctre=129,"Calle Ramón Encinas, nº 4 36992 Poio - Pontevedra",Hotel,2 Estrellas,+34 986 740 433,reservas@hotelgranproa.com,Donde alojarse,,,,,,,,,
GRAN TALASO HOTEL SANXENXO,https://www.turismo.gal/recurso/-/detalle/36422/gran-talaso-hotel-sanxenxo?langId=es_ES&tp=22&ctre=129,"Paseo Praia de Silgar, nº 3 36960 Sanxenxo - Pontevedra",Hotel,4 Estrellas,+34 986 691 111,reservas@hotelsanxenxo.com,Donde alojarse,,,,,,,,,
